dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.9360464631297964,0.7962429288077703,0.1115347237796217,0.9978602372906054,0.1956618669184567,0.1084396895078059,0.0021397627093946,0.8884652762203783,0.5546974805351136,0.1956618669184567
CHASEDB1,Image_01L,CA-APSRG,0.9360464631297964,0.7962429288077703,0.1115347237796217,0.9978602372906054,0.1956618669184567,0.1084396895078059,0.0021397627093946,0.8884652762203783,0.5546974805351136,0.1956618669184567
CHASEDB1,Image_01R,APSRG Baseline,0.9254483650316984,0.6472527472527473,0.0404321919876987,0.9981889004989832,0.0761099912131079,0.0395604690837284,0.0018110995010166,0.9595678080123012,0.519310546243341,0.0761099912131079
CHASEDB1,Image_01R,CA-APSRG,0.9254483650316984,0.6472527472527473,0.0404321919876987,0.9981889004989832,0.0761099912131079,0.0395604690837284,0.0018110995010166,0.9595678080123012,0.519310546243341,0.0761099912131079
CHASEDB1,Image_02L,APSRG Baseline,0.9222774858191524,0.7770646850194224,0.0591236186070418,0.9985020766664398,0.1098864355572539,0.0581374778872883,0.0014979233335602,0.940876381392958,0.5288128476367409,0.1098864355572539
CHASEDB1,Image_02L,CA-APSRG,0.9222774858191524,0.7770646850194224,0.0591236186070418,0.9985020766664398,0.1098864355572539,0.0581374778872883,0.0014979233335602,0.940876381392958,0.5288128476367409,0.1098864355572539
CHASEDB1,Image_02R,APSRG Baseline,0.9239020270270272,0.7242189335212591,0.0411670449993323,0.998672171011706,0.0779056691978217,0.0405316575515355,0.0013278289882938,0.9588329550006676,0.5199196080055193,0.0779056691978217
CHASEDB1,Image_02R,CA-APSRG,0.9239020270270272,0.7242189335212591,0.0411670449993323,0.998672171011706,0.0779056691978217,0.0405316575515355,0.0013278289882938,0.9588329550006676,0.5199196080055193,0.0779056691978217
CHASEDB1,Image_03L,APSRG Baseline,0.9324532866199532,0.8553978435921933,0.1666976966859939,0.997602518091428,0.2790205898720089,0.1621289529845437,0.0023974819085721,0.833302303314006,0.5821501073887109,0.2790205898720089
CHASEDB1,Image_03L,CA-APSRG,0.9324532866199532,0.8553978435921933,0.1666976966859939,0.997602518091428,0.2790205898720089,0.1621289529845437,0.0023974819085721,0.833302303314006,0.5821501073887109,0.2790205898720089
CHASEDB1,Image_03R,APSRG Baseline,0.9327556723390056,0.7346310869179339,0.1714419850595821,0.9949414573790996,0.2780054185978818,0.1614438405325982,0.0050585426209002,0.8285580149404178,0.5831917212193409,0.2780054185978818
