dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.4501 ± 0.0498,0.7066 ± 0.0507,0.5469 ± 0.0335,0.3771 ± 0.0322,0.9197 ± 0.0060
CHASEDB1,CA-APSRG,28,0.4664 ± 0.0542,0.7046 ± 0.0515,0.5578 ± 0.0349,0.3875 ± 0.0341,0.9235 ± 0.0054
DRIVE,APSRG Baseline,20,0.7112 ± 0.1099,0.6943 ± 0.0491,0.6970 ± 0.0632,0.5381 ± 0.0687,0.9246 ± 0.0169
DRIVE,CA-APSRG,20,0.7132 ± 0.1090,0.6926 ± 0.0494,0.6972 ± 0.0628,0.5383 ± 0.0682,0.9249 ± 0.0166
STARE,APSRG Baseline,20,0.5356 ± 0.1401,0.8348 ± 0.0485,0.6413 ± 0.1157,0.4816 ± 0.1197,0.9286 ± 0.0245
STARE,CA-APSRG,20,0.5401 ± 0.1355,0.8343 ± 0.0486,0.6454 ± 0.1102,0.4853 ± 0.1155,0.9304 ± 0.0221
