experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,specificity,20,0.02559530625685879,0.019306801565699194,0.01511862108529584,20,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,accuracy,20,0.013849586776859508,0.00199173553719012,0.029226153351229186,10,0,10
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,balanced_accuracy,20,-0.17370982902287127,-0.16430532313602408,0.061024008926790434,0,0,20
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,dice,20,-0.11572563865990568,-0.1257120737692501,0.13943430001621632,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,f1_score,20,-0.11572563865990568,-0.1257120737692501,0.13943430001621632,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,iou,20,-0.11946297879493077,-0.14280585118587555,0.13028786476971124,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,precision,20,0.17191654635895148,0.1451085647264868,0.1192790936715897,20,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,recall,20,-0.39479047082158725,-0.36264802777735156,0.12009415228638928,0,0,20
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,specificity,20,0.047370812775844734,0.039272692752011895,0.02456717117131246,20,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,accuracy,20,0.012114994096812238,0.001213695395513581,0.02643618967640555,10,0,10
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,balanced_accuracy,20,-0.17441034376457404,-0.16437537083217468,0.06088516140304463,0,0,20
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,dice,20,-0.11985479683367004,-0.1263070300429352,0.13541921703780063,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,f1_score,20,-0.11985479683367004,-0.1263070300429352,0.13541921703780063,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,iou,20,-0.12319991745892014,-0.14487754752572082,0.12700327423828678,3,0,17
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,precision,20,0.16742130892872392,0.14461488013141932,0.11365641674521317,20,0,0
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,recall,20,-0.3943179798871942,-0.3625386514955983,0.12021028314898793,0,0,20
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,specificity,20,0.04549729235804615,0.038385135605671195,0.021501834772940476,20,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,accuracy,28,0.025970464512131152,0.024870182682682596,0.0067537132435249595,28,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,balanced_accuracy,28,-0.10336924107734559,-0.108789102581409,0.03054399357549824,0,0,28
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,dice,28,-0.016688602120052794,-0.024026269398772004,0.06292195493843922,10,0,18
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,f1_score,28,-0.016688602120052794,-0.024026269398772004,0.06292195493843922,10,0,18
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,iou,28,-0.01411133048557285,-0.022662231768816515,0.05828686461200186,10,0,18
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,precision,28,0.21604796896525214,0.23263560847499434,0.044675804610364536,28,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,recall,28,-0.2537514561077436,-0.2651083864012125,0.06138134852227602,0,0,28
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,specificity,28,0.04701297395305235,0.04781002479567226,0.004686977707552434,28,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,accuracy,28,0.02223830973830975,0.020032011177844422,0.006925486401275567,28,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.10442420547566685,-0.1103429325593645,0.030411546361351238,0,0,28
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,dice,28,-0.027570723585526043,-0.030961365334039703,0.06396241412676279,9,0,19
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,f1_score,28,-0.027570723585526043,-0.030961365334039703,0.06396241412676279,9,0,19
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,iou,28,-0.024578224381810367,-0.030583999815160495,0.059453058641786065,9,0,19
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,precision,28,0.19985483030867343,0.21208408163426679,0.0418228589215831,28,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,recall,28,-0.25167982198473937,-0.2631792102549281,0.060840127537884585,0,0,28
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,specificity,28,0.042831411033405584,0.043618800997779206,0.004085556398988481,28,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,accuracy,20,-0.012016941655563546,-0.016728866295497524,0.014630097752133588,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,balanced_accuracy,20,-0.11524161087323485,-0.11075123702772643,0.027563387979523502,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,dice,20,-0.14060719246719358,-0.13942391344002442,0.056806909781664645,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,f1_score,20,-0.14060719246719358,-0.13942391344002442,0.056806909781664645,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,iou,20,-0.1507443523580797,-0.1586422029431429,0.06126162770973497,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,precision,20,0.06208511121110789,0.05705110588545881,0.06691853932625258,15,0,5
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,recall,20,-0.25242410198311926,-0.2420883607626255,0.0568974849414634,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,specificity,20,0.02194088023664955,0.021409888348490114,0.01303439361347266,20,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,accuracy,20,-0.01231673924791602,-0.016783738664899128,0.01430083165326159,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,balanced_accuracy,20,-0.11477595073637314,-0.11021807272990791,0.02753225108055991,0,0,20
