comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,specificity,20,-0.004199337349648646,-0.0045010776913914086,0.008423282435435367
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,accuracy,20,0.0010896103896104125,0.00012396694214888981,0.006028778652406989
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,balanced_accuracy,20,0.030331697702644912,0.019793957671973783,0.055518094807156096
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,dice,20,0.04562682748423531,0.030243636996954038,0.09355763883333766
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,f1_score,20,0.04562682748423531,0.030243636996954038,0.09355763883333766
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,iou,20,0.03980341591583164,0.030316335453618254,0.08050899200418395
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,precision,20,-0.015363965299466792,-0.0230757893354272,0.05956276202661937
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,recall,20,0.06472314625177793,0.04036176299642777,0.11599613741381487
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,specificity,20,-0.004059750846488147,-0.005050135357396401,0.006826340997344085
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,accuracy,20,0.00109279811097997,0.00012278630460460516,0.006026023532293
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,balanced_accuracy,20,0.03034603324626331,0.019793957671973783,0.0555105365142286
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,dice,20,0.04565369128514258,0.03032136428886789,0.0935483742238836
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,f1_score,20,0.04565369128514258,0.03032136428886789,0.0935483742238836
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,iou,20,0.03983112212349841,0.030380021935559,0.08050282789966459
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,precision,20,-0.015364838500799482,-0.023397830252909146,0.05947744331183525
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,recall,20,0.06475065295932175,0.04036176299642777,0.11597869271614719
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,specificity,20,-0.0040585864667952,-0.005050135357396401,0.0068185056022528456
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,accuracy,28,-0.009161468015634685,-0.009324428595262002,0.004791139607034774
