experiment,experiment_label,dataset,output_method,metric,n_images,mean,std,median,min,max
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,APSRG,specificity,20,0.9369470871344611,0.026786138553608053,0.9427560193396206,0.8732721186225695,0.96933325485158
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,accuracy,20,0.930386186540732,0.022052338792797884,0.9355501770956317,0.8797331759149941,0.9637898465171192
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,balanced_accuracy,20,0.886575886536615,0.027173962582796942,0.8898621934355913,0.8339643626899758,0.9331149653504872
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,dice,20,0.6453755105414309,0.11023143311838678,0.6684753967656749,0.4199542406729001,0.7929912660808056
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,f1_score,20,0.6453755105414309,0.11023143311838678,0.6684753967656749,0.4199542406729001,0.7929912660808056
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,iou,20,0.485332682970693,0.11554502906296407,0.5020435134381673,0.2657861256193919,0.6569888384369338
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,precision,20,0.5401371770165189,0.1355092813737171,0.5676851524908415,0.2767570771161623,0.7107046070460704
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,recall,20,0.8343212487412217,0.0486251291607215,0.8301690480905575,0.743780856824335,0.9143141153081512
r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,specificity,20,0.9388305243320083,0.024186785747577474,0.9431218696362623,0.8785272655826424,0.96940235291709
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,accuracy,28,0.9434121249225417,0.008381579700242971,0.9420091966966966,0.9260062145478812,0.9616762595929262
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,balanced_accuracy,28,0.6728573695430776,0.0593416281210575,0.6593502967972402,0.5809092274131573,0.7880926325352768
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,dice,28,0.45515065385928094,0.0954600373676131,0.4580289363166617,0.2655398037077426,0.621911325995268
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,f1_score,28,0.45515065385928094,0.0954600373676131,0.4580289363166617,0.2655398037077426,0.621911325995268
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,iou,28,0.29939924015932434,0.0802900274470423,0.2970419850253704,0.1530965105312794,0.4512854199635723
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,precision,28,0.6924100531553371,0.09803819228059361,0.7303505101142604,0.4695841014115805,0.8232785380732583
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,recall,28,0.3578451930668005,0.12341996671914666,0.3259486787306064,0.1686927835051546,0.605865138900338
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,APSRG,specificity,28,0.9878695460193546,0.006654902400439407,0.990463485458919,0.9703201261702156,0.994550748520496
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,accuracy,28,0.9434142475809143,0.00838049608273219,0.9420034617951284,0.9260062145478812,0.9616762595929262
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,balanced_accuracy,28,0.6728530765775507,0.05934171068499895,0.6592933039818427,0.5809092274131573,0.7880926325352768
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,dice,28,0.45515032434591923,0.0954536676072837,0.45794951012885643,0.2655398037077426,0.621911325995268
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,f1_score,28,0.45515032434591923,0.0954536676072837,0.45794951012885643,0.2655398037077426,0.621911325995268
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,iou,28,0.2993983334149086,0.0802848437186166,0.29697538799517065,0.1530965105312794,0.4512854199635723
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,precision,28,0.6924783092802743,0.09806931988299585,0.7308605011244047,0.4695841014115805,0.8232403682604822
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,recall,28,0.35783331084806036,0.12342204547066803,0.3258313094592624,0.1686927835051546,0.605865138900338
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,specificity,28,0.9878728423070412,0.006656371184936518,0.990463485458919,0.9703201261702156,0.994550748520496
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,accuracy,20,0.9079754600266116,0.01583247759118026,0.9124956903138616,0.8791085096803242,0.9298537234042552
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,balanced_accuracy,20,0.6786262150280663,0.04480327970920933,0.6738498505996576,0.5953664024182128,0.7497327024573979
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,dice,20,0.4978983691957913,0.09422825529247345,0.5004740743356225,0.2949766355140187,0.6240753951864229
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,f1_score,20,0.4978983691957913,0.09422825529247345,0.5004740743356225,0.2949766355140187,0.6240753951864229
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,iou,20,0.33628089984254733,0.08093681330950964,0.333756973975162,0.1730044535799931,0.4535680174648656
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,precision,20,0.7795174238872663,0.11309577589449316,0.8047444486843623,0.3482758620689655,0.8962649327083019
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,recall,20,0.3725608267404271,0.08966434652433244,0.35610521459527467,0.1985009446526466,0.5249178878221324
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,APSRG,specificity,20,0.9846916033157054,0.009506088589514674,0.9871030400143783,0.9496544342359534,0.9937447873227688
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,accuracy,20,0.907959171985804,0.015823322876270335,0.9124539835454232,0.8790908529102771,0.9298005319148936
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,balanced_accuracy,20,0.6784906198574929,0.04477676654978606,0.67347785235469,0.5952786336370929,0.7497424612252399
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,dice,20,0.4976551013456687,0.0941933780783898,0.500397790884125,0.2950784839712093,0.6241667449065815
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,f1_score,20,0.4976551013456687,0.0941933780783898,0.500397790884125,0.2950784839712093,0.6241667449065815
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,iou,20,0.33606030495908296,0.08089589349295642,0.33368930073721603,0.1730745264207377,0.4536645284563941
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,precision,20,0.7796407703423229,0.11307785101233377,0.8047853914265104,0.348559954822112,0.8962649327083019
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,recall,20,0.3722668537736907,0.08961791185340884,0.355501285355025,0.1983151113451234,0.5248863062152602
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,specificity,20,0.9847143859412952,0.009494646037621108,0.9871106201362667,0.94971739646346,0.9938000542620858
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,accuracy,20,0.9424968122786306,0.01084512114887288,0.9442148760330578,0.922094451003542,0.9661157024793388
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,balanced_accuracy,20,0.712188140056554,0.06374726972692132,0.7167915531370115,0.5679609274372821,0.8605054098497161
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,dice,20,0.5255369296760255,0.10142832194622177,0.5708226415702964,0.2321017792591897,0.6531432687314696
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,f1_score,20,0.5255369296760255,0.10142832194622177,0.5708226415702964,0.2321017792591897,0.6531432687314696
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,iou,20,0.36214931940916223,0.08791667555641976,0.3994065511901458,0.1312868447607414,0.4849389349053553
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,precision,20,0.7074689100460132,0.12529526057598128,0.7119577167816046,0.5261234057769478,0.955940500847298
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,recall,20,0.4400583802028021,0.13316670743243897,0.449385413925408,0.1451683941627272,0.755252591278364
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,specificity,20,0.9843178999103058,0.009592018289913955,0.9875657223179013,0.9657582284210684,0.9988005843307108
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,accuracy,20,0.9425011806375443,0.010838843537843602,0.9442148760330578,0.9220897284533648,0.9661157024793388
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,balanced_accuracy,20,0.712165542772041,0.06374522744309556,0.7167915531370115,0.5679609274372821,0.8605054098497161
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,dice,20,0.5255207137077609,0.10141502402518121,0.5707774866700828,0.2321017792591897,0.6531432687314696
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,f1_score,20,0.5255207137077609,0.10141502402518121,0.5707774866700828,0.2321017792591897,0.6531432687314696
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,iou,20,0.36213276551177287,0.08790406602599715,0.3993623645540567,0.1312868447607414,0.4849389349053553
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,precision,20,0.7075584859452428,0.12527192777451565,0.7119577167816046,0.5261234057769478,0.955940500847298
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,recall,20,0.4400032688540274,0.13316509716012886,0.449385413925408,0.1451683941627272,0.755252591278364
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,specificity,20,0.9843278166900544,0.009586931772597604,0.9875759903389199,0.9657582284210684,0.9988005843307108
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,accuracy,28,0.9456840024548357,0.007019310900869746,0.9455945528862195,0.9303376292959626,0.9584407323990656
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,balanced_accuracy,28,0.7179692627457824,0.044978008614077844,0.7183650847343311,0.6313109025058276,0.8211824370767116
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,dice,28,0.5301840737447097,0.060932302742268116,0.5286615936914343,0.3830490631550757,0.6147359825319759
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,f1_score,28,0.5301840737447097,0.060932302742268116,0.5286615936914343,0.3830490631550757,0.6147359825319759
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,iou,28,0.36294604980791895,0.055873607629662016,0.35937699111008076,0.2368959097191287,0.4437681010841428
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,precision,28,0.6661284788194124,0.07921974298686506,0.6623197815825902,0.4746250922642087,0.8006896551724138
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,recall,28,0.4528887626256736,0.0936766547864361,0.45042065087186733,0.2769395112832153,0.6707608606050615
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,specificity,28,0.9830497628658911,0.005894927912304971,0.9841268834689132,0.9679385555815566,0.9909508917863332
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,accuracy,28,0.945691748295915,0.007015557250392258,0.9455992450784116,0.93036995328662,0.9584407323990656
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,balanced_accuracy,28,0.7179680952678982,0.04498045898621051,0.7183598724798208,0.6313284334677685,0.8211824370767116
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,dice,28,0.5302098625528412,0.06092315523948003,0.5286615936914343,0.3831587503925807,0.6147359825319759
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,f1_score,28,0.5302098625528412,0.06092315523948003,0.5286615936914343,0.3831587503925807,0.6147359825319759
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,iou,28,0.36296947116468986,0.055869560459517416,0.35937699111008076,0.2369798212939052,0.4437681010841428
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,precision,28,0.6662542538927726,0.07921357997737331,0.6624320830774486,0.4747191011235955,0.8006896551724138
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,recall,28,0.4528772543125564,0.09368579023363977,0.4504068427222975,0.2769395112832153,0.6707608606050615
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,specificity,28,0.9830589362232399,0.005895421133659819,0.9841268834689132,0.9679506405587216,0.9909508917863332
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,accuracy,20,0.9126276399586685,0.013574613164165885,0.918419584667172,0.889353850500128,0.9340933944075784
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,balanced_accuracy,20,0.7111650490569602,0.030321958169897616,0.7175293682353127,0.6630482398398991,0.7592021847891921
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,dice,20,0.5563780566816148,0.056082379123070514,0.5784947956884374,0.4020782008439642,0.6251727195858855
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,f1_score,20,0.5563780566816148,0.056082379123070514,0.5784947956884374,0.4020782008439642,0.6251727195858855
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,iou,20,0.3873188022320776,0.05193518188631802,0.4069890216231502,0.2516257059990841,0.4547281891275651
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,precision,20,0.7732716257245575,0.10802291536360378,0.7776026234244795,0.4274231188093139,0.9010131053071848
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,recall,20,0.44182591610117783,0.06277603193088015,0.44839443156724623,0.3446482438195624,0.5464344941956882
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,specificity,20,0.9805041820127425,0.01103653192349471,0.9826316908317755,0.9465256958536952,0.9947001741726798
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,accuracy,20,0.9126210130663688,0.013577637545379394,0.9184591197347769,0.889336193730081,0.9340933944075784
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,balanced_accuracy,20,0.7111070810365678,0.030328775129429292,0.7175293682353127,0.6630482398398991,0.7590399524725145
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,dice,20,0.5562872663838508,0.05612270456966606,0.5783803440771074,0.4020782008439642,0.6249174917491749
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,f1_score,20,0.5562872663838508,0.05612270456966606,0.5783803440771074,0.4020782008439642,0.6249174917491749
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,iou,20,0.3872339091623048,0.051961217031029246,0.4068747115432294,0.2516257059990841,0.4544581783271331
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,precision,20,0.7733109722951211,0.10803409108331798,0.7775568886850569,0.4274231188093139,0.9010131053071848
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,recall,20,0.4416991134814891,0.06278336913776754,0.44839443156724623,0.3438854408654346,0.5461100295623332
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,specificity,20,0.9805150485916465,0.01103494086965597,0.9826316908317755,0.9465256958536952,0.9947001741726798
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,accuracy,20,0.9435864226682409,0.010927498845939911,0.9469043683589139,0.9143376623376624,0.9641794569067296
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,balanced_accuracy,20,0.7425198377591988,0.04467495441620363,0.7376590261572555,0.681058531278387,0.8613515270999321
