dataset,method,n_images,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,iou_mean,iou_std,iou_min,iou_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,dice_mean,dice_std,dice_min,dice_max
CHASEDB1,APSRG,28,0.9365225344392012,0.008854919105903693,0.9222430764097431,0.9547954204204204,0.6722104667214202,0.11546907315167933,0.4499140490701672,0.8948111249481112,0.18498590955105768,0.051224855335531186,0.10859927894244893,0.2948647043159426,0.9927488424604951,0.004257955472507493,0.9806640365361818,0.9985652797704447,0.2837319409469557,0.05769589377511782,0.18509120287661723,0.39323591107777767,0.16660085466117683,0.03956275940019191,0.10198374880874755,0.2447378017650062,0.007251157539504887,0.004257955472507498,0.0014347202295552368,0.019335963463818127,0.8150140904489424,0.05122485533553118,0.7051352956840574,0.8914007210575511,0.5888673760057763,0.024307764271542506,0.5515523680806234,0.6377643704260623,0.2837319409469557,0.05769589377511782,0.18509120287661723,0.39323591107777767
CHASEDB1,CA-APSRG,28,0.9365241729825062,0.008856299187893464,0.9222420337003671,0.9547954204204204,0.6722445347199845,0.11544185589859661,0.4500687843921961,0.8948111249481112,0.18497910274149837,0.051218969789024446,0.10859927894244893,0.2948647043159426,0.9927511487735953,0.004254201790324802,0.9806761215133467,0.9985652797704447,0.2837320273918769,0.057700576194684446,0.18509120287661723,0.39323591107777767,0.16660113603503404,0.0395664230861227,0.10198374880874755,0.2447378017650062,0.007248851226404784,0.004254201790324803,0.0014347202295552368,0.01932387848665324,0.8150208972585017,0.051218969789024474,0.7051352956840574,0.8914007210575511,0.5888651257575468,0.02430684415784756,0.5515523680806234,0.6377704129146446,0.2837320273918769,0.057700576194684446,0.18509120287661723,0.39323591107777767
DRIVE,APSRG,20,0.8915361156237012,0.018225595098454277,0.8539868087087114,0.932947154382282,0.8062833529848821,0.1592232032129107,0.39902901398682233,0.9997619614377529,0.19450262442372185,0.06092249570198557,0.11704380782521458,0.37486480640276876,0.9918418922396276,0.007450785267884016,0.974819952245572,0.9999947735100584,0.30629830324640694,0.07224963400047453,0.20955469627042533,0.4978096947935368,0.1829800229481669,0.052761552030131095,0.11704054618921556,0.3313892341524046,0.008158107760372426,0.0074507852678840246,5.226489941620107e-06,0.02518004775442794,0.8054973755762781,0.06092249570198554,0.6251351935972312,0.8829561921747854,0.5931722583316746,0.029144973403524902,0.5585044668372522,0.6783153471160814,0.30629830324640694,0.07224963400047453,0.20955469627042533,0.4978096947935368
DRIVE,CA-APSRG,20,0.8915147932833584,0.018234694454892852,0.8539780262244978,0.932947154382282,0.8063513929119794,0.15951340360546484,0.39658774373259054,0.9997619614377529,0.1941253070286709,0.060982315245448476,0.11704380782521458,0.37486480640276876,0.9918704128120636,0.007435638698573442,0.974819952245572,0.9999947735100584,0.30584621756236374,0.07243259744830087,0.20955469627042533,0.4978096947935368,0.1826741380442753,0.05287017222970415,0.11704054618921556,0.3313892341524046,0.008129587187936459,0.0074356386985734236,5.226489941620107e-06,0.02518004775442794,0.8058746929713291,0.06098231524544846,0.6251351935972312,0.8829561921747854,0.5929978599203672,0.029199850764815766,0.5585044668372522,0.6783153471160814,0.30584621756236374,0.07243259744830087,0.20955469627042533,0.4978096947935368
STARE,APSRG,20,0.932694451003542,0.01545993917670753,0.9028122786304604,0.9672656434474616,0.7849399144913042,0.21860010791411652,0.3170332815438711,0.999801429706116,0.21034274083668114,0.11507629978980291,0.1091564942363489,0.6311046783079652,0.9932244128813924,0.010073700215300017,0.9608189374306734,0.9999974371460058,0.31083580605892197,0.09172807097655514,0.16846267489354305,0.5333307029138472,0.18747753214796983,0.06725925454026263,0.09197883798723637,0.3636339180027978,0.006775587118607635,0.010073700215300024,2.56285399420795e-06,0.03918106256932666,0.7896572591633189,0.1150762997898029,0.36889532169203476,0.8908435057636511,0.6017835768590367,0.054633961730873246,0.5453918375013871,0.7959618078693194,0.31083580605892197,0.09172807097655514,0.16846267489354305,0.5333307029138472
STARE,CA-APSRG,20,0.9327028335301062,0.015445097309949354,0.9028642266824085,0.9672656434474616,0.7850804184104523,0.2184163204943104,0.31768272697476235,0.999801429706116,0.21034274083668114,0.11507629978980291,0.1091564942363489,0.6311046783079652,0.9932336315698491,0.010064384708102317,0.9608189374306734,0.9999974371460058,0.31085027606645255,0.09171224372337733,0.16855422472447448,0.5333307029138472,0.18748664638264345,0.06725019846237885,0.09203342353890709,0.3636339180027978,0.006766368430150857,0.010064384708102322,2.56285399420795e-06,0.03918106256932666,0.7896572591633189,0.1150762997898029,0.36889532169203476,0.8908435057636511,0.6017881862032651,0.05463014120353069,0.5454203909079384,0.7959618078693194,0.31085027606645255,0.09171224372337733,0.16855422472447448,0.5333307029138472
