dataset,method,n_images,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,iou_mean,iou_std,iou_min,iou_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,dice_mean,dice_std,dice_min,dice_max
CHASEDB1,APSRG,28,0.9361059348038515,0.011359939677377135,0.9222774858191525,0.9613457207207208,0.7248800608144125,0.12053387299052613,0.3243539202803329,0.8703170028818443,0.14365962742897456,0.1317867675459763,0.022004044274159217,0.5096708583497936,0.9959760619749904,0.004146258112728716,0.982082966647465,0.9995430977297034,0.21450436740519377,0.15457499002353273,0.04282755049197307,0.5576871636297493,0.12897458953031152,0.10625021978086698,0.021882359167041517,0.38666172106824925,0.004023938025009563,0.004146258112728684,0.00045690227029661416,0.017917033352535007,0.8563403725710254,0.13178676754597624,0.4903291416502063,0.9779959557258407,0.5698178447019825,0.06399397186994678,0.5106101896263078,0.7458769124986293,0.21450436740519377,0.15457499002353273,0.04282755049197307,0.5576871636297493
CHASEDB1,CA-APSRG,28,0.936103439749273,0.01135477702162595,0.9222774858191525,0.961305055055055,0.7248586511007437,0.12054219973639056,0.3243539202803329,0.8703170028818443,0.14360827713411561,0.13167312345329185,0.022004044274159217,0.5094166194042986,0.9959762986383487,0.0041458855196600825,0.982082966647465,0.9995430977297034,0.21445881243726989,0.15448163072225754,0.04282755049197307,0.5574865165653625,0.12893297749347035,0.10615957815560247,0.021882359167041517,0.38646884272997034,0.0040237013616512655,0.004145885519660068,0.00045690227029661416,0.017917033352535007,0.8563917228658843,0.1316731234532918,0.4905833805957014,0.9779959557258407,0.5697922878862322,0.06393722098641742,0.5106101896263078,0.7457497930258818,0.21445881243726989,0.15448163072225754,0.04282755049197307,0.5574865165653625
DRIVE,APSRG,20,0.905045614179158,0.01424195345407951,0.8799251352950005,0.9257128805908544,0.8267124634881948,0.1473023502881479,0.25754643962848295,0.9480806766428107,0.29391048855760377,0.12851671235690462,0.061296859169199594,0.4830090955027792,0.9916431667496555,0.005767705949084169,0.9797800692904373,0.9979550835904427,0.4199523327240261,0.1505336065270507,0.09902537013615058,0.6008758991581383,0.276165345484804,0.11514478458418115,0.052091894642088375,0.42946576275584675,0.008356833250344456,0.005767705949084158,0.0020449164095572934,0.020219930709562694,0.7060895114423962,0.12851671235690462,0.5169909044972208,0.9387031408308004,0.6427768276536296,0.06279896356099321,0.5213566577790852,0.7313945823966083,0.4199523327240261,0.1505336065270507,0.09902537013615058,0.6008758991581383
DRIVE,CA-APSRG,20,0.9049933891120279,0.014257170949614767,0.8797794669421123,0.925668970483626,0.8266097065871663,0.1472583723049847,0.25754643962848295,0.947992700729927,0.29348470879243094,0.12841837679388024,0.061296859169199594,0.4822195553309752,0.9916477275336033,0.005763834584629643,0.9797800692904373,0.9979550835904427,0.4194787495236648,0.15047393964175673,0.09902537013615058,0.6008758991581383,0.27577180727404077,0.11506482080794757,0.052091894642088375,0.42946576275584675,0.008352272466396594,0.005763834584629616,0.0020449164095572934,0.020219930709562694,0.7065152912075691,0.12841837679388024,0.5177804446690247,0.9387031408308004,0.6425662181630172,0.06275047833100507,0.5213566577790852,0.7309998123107062,0.4194787495236648,0.15047393964175673,0.09902537013615058,0.6008758991581383
STARE,APSRG,20,0.9407604486422668,0.011355161926146218,0.9161157024793388,0.9630814639905549,0.632793058078155,0.29852223905957576,0.0,0.9363886077779384,0.319524447624904,0.21366917778145053,0.0,0.6475407243397122,0.9906797569691863,0.0071155387307742495,0.973573880092374,1.0,0.40440316971888723,0.24123644480330425,0.0,0.6557020002242044,0.2788744663297772,0.1777826091253416,0.0,0.4877653617974316,0.009320243030813797,0.007115538730774236,0.0,0.026426119907625962,0.680475552375096,0.2136691777814505,0.35245927566028784,1.0,0.6551021022970451,0.10425644385816339,0.49971745489565744,0.810557302216043,0.40440316971888723,0.24123644480330425,0.0,0.6557020002242044
STARE,CA-APSRG,20,0.9407629279811098,0.011357751440320515,0.9161157024793388,0.9630814639905549,0.63289400139417,0.29855892834436704,0.0,0.9363886077779384,0.3194234426154592,0.21357485780139362,0.0,0.6475407243397122,0.9906915555582211,0.007100910868218284,0.9736198119346237,1.0,0.40436766895647375,0.2412070523110793,0.0,0.6558910692831398,0.2788385290608998,0.17775191124226425,0.0,0.48797463828570065,0.009308444441778852,0.007100910868218298,0.0,0.02638018806537632,0.6805765573845408,0.21357485780139362,0.35245927566028784,1.0,0.6550574990868402,0.10421589442361177,0.49971745489565744,0.8105802681371679,0.40436766895647375,0.2412070523110793,0.0,0.6558910692831398
