dataset,method,n_images,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,iou_mean,iou_std,iou_min,iou_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,dice_mean,dice_std,dice_min,dice_max
CHASEDB1,APSRG,28,0.925557402640736,0.004396467718113711,0.916382007007007,0.934055930930931,0.47389218933415195,0.055505996226985446,0.3682943568626246,0.583329330387165,0.6291447907714783,0.06108276777093181,0.5255441313927093,0.7710932219013089,0.948176530286901,0.007362370468300334,0.930738798599461,0.9604537160194534,0.5361253536144474,0.03187397013277457,0.49202515275715547,0.6013351235840315,0.36686744493123696,0.03002334531123543,0.3262820687339486,0.4299351000540833,0.05182346971309894,0.007362370468300327,0.03954628398054656,0.06926120140053899,0.37085520922852167,0.06108276777093181,0.2289067780986911,0.4744558686072907,0.7886606605291897,0.02804810441344847,0.737684693644101,0.850916010250385,0.5361253536144474,0.03187397013277457,0.49202515275715547,0.6013351235840315
CHASEDB1,CA-APSRG,28,0.9271051929906096,0.004352919536978846,0.9175143893893893,0.935547005338672,0.482132365948381,0.057194397149868105,0.37417970458948774,0.5943000735474381,0.6280358121675336,0.06138210220979643,0.5230871945520096,0.7700280628443844,0.9499254164521576,0.007437562310573731,0.9323471991966786,0.9622773334609865,0.5408761892914746,0.03235612175507797,0.49710086766394973,0.6065497597148404,0.37134152583268687,0.030681076502849947,0.33076129792641157,0.4352862715720041,0.05007458354784242,0.007437562310573751,0.03772266653901345,0.0676528008033214,0.3719641878324665,0.061382102209796396,0.22997193715561565,0.47691280544799036,0.7889806143098456,0.02815785471793746,0.7372688701369448,0.8511876310205315,0.5408761892914746,0.03235612175507797,0.49710086766394973,0.6065497597148404
DRIVE,APSRG,20,0.8907499238403702,0.012237770921050507,0.8584494296344665,0.9112767079926141,0.5629987853184975,0.0905594491287636,0.3318187595322827,0.7365904929816234,0.5869050447908395,0.041732528076426544,0.4809339596573639,0.6483702553972062,0.9345534034592415,0.0141033632909251,0.8981513321354366,0.9590050181783644,0.571502669759146,0.05996055185137987,0.3926973263640808,0.6455805131627474,0.4022934023223331,0.055790046710071414,0.24432070748426643,0.4766473898498483,0.06544659654075849,0.01410336329092509,0.04099498182163568,0.10184866786456341,0.41309495520916045,0.041732528076426495,0.35162974460279384,0.519066040342636,0.7607292241250405,0.024454015163000078,0.6895426458964002,0.7985387578163258,0.571502669759146,0.05996055185137987,0.3926973263640808,0.6455805131627474
DRIVE,CA-APSRG,20,0.8998234111800307,0.013626255902759038,0.8609999693234058,0.9171590609337905,0.6083398476698989,0.09812452993973483,0.3375446573562845,0.7764962706931053,0.5767417082166267,0.04102888319935793,0.47863129778023394,0.6387752222379004,0.9464203229676368,0.01508354890455245,0.9012122650419183,0.9675849950662494,0.5887129170113236,0.061892205940733386,0.3958936461983849,0.6577671225412739,0.4195671455539379,0.058209983545964246,0.24680012348317543,0.49005439636275067,0.05357967703236327,0.01508354890455244,0.032415004933750546,0.09878773495808169,0.42325829178337326,0.04102888319935798,0.3612247777620996,0.5213687022197661,0.7615810155921318,0.02477451407829113,0.6899217814110761,0.7977841919377858,0.5887129170113236,0.061892205940733386,0.3958936461983849,0.6577671225412739
STARE,APSRG,20,0.9031972845336481,0.00986572670875407,0.8778748524203069,0.9204273907910272,0.41644623509024103,0.07767597245867704,0.239418789207165,0.5321348492965852,0.6557565421419231,0.06220321399499329,0.5514560192134494,0.8002614623214119,0.9241990112504187,0.014044918510011703,0.8820091424137365,0.941715763908149,0.5030106926360058,0.06169412596089244,0.35608200199525075,0.5913920614117206,0.33812209200708504,0.05388381906955878,0.21660569592122808,0.41984149401033444,0.07580098874958127,0.014044918510011717,0.05828423609185094,0.1179908575862635,0.3442434578580769,0.06220321399499332,0.1997385376785881,0.4485439807865506,0.789977776696171,0.028163586009945986,0.7379498333303409,0.8411353023675743,0.5030106926360058,0.06169412596089244,0.35608200199525075,0.5913920614117206
STARE,CA-APSRG,20,0.907890318772137,0.009938985194148854,0.8819881936245573,0.9262432113341205,0.43404056833625926,0.08354101382300198,0.24808920942264728,0.5550008796622097,0.654679972793076,0.06225732481212406,0.5510657460222156,0.7986273228125875,0.9293795841331018,0.014567154838830964,0.8864286389343468,0.9475504083732721,0.5149803514066418,0.0640181705076727,0.36549205295145154,0.6068555901554591,0.34910632011155374,0.05678508044697929,0.2236098353705928,0.4356013532173433,0.0706204158668982,0.014567154838830965,0.05244959162672791,0.11357136106565327,0.345320027206924,0.062257324812124044,0.20137267718741245,0.44893425397778447,0.7920297784630889,0.02801638075897234,0.7391931469224431,0.8425279808734671,0.5149803514066418,0.0640181705076727,0.36549205295145154,0.6068555901554591
