experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,balanced_accuracy,20,-0.2307958667823801,-0.20317492385404579,0.08759824726557106,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,dice,20,-0.23685939861704405,-0.1925608551437856,0.18166749642437655,1,0,19
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,f1_score,20,-0.23685939861704405,-0.1925608551437856,0.18166749642437655,1,0,19
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,iou,20,-0.20273783187431588,-0.18982122687929698,0.12594060420949715,1,0,19
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,precision,20,0.09724069439109324,0.1568658813430358,0.22385715755833993,16,0,4
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,recall,20,-0.5153244033994854,-0.44407204221076746,0.1968120614881277,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,specificity,20,0.05373266983472513,0.04135606249579893,0.029483147075357843,20,0,0
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,accuracy,20,0.010376741440377757,0.006419126328217173,0.023655190934925945,12,0,8
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,balanced_accuracy,20,-0.23151838744977482,-0.20337301006182656,0.08773221268080324,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,dice,20,-0.2410078415849573,-0.19381372537829505,0.18013084669382246,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,f1_score,20,-0.2410078415849573,-0.19381372537829505,0.18013084669382246,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,iou,20,-0.20649415390979323,-0.19491609201292473,0.12402259185926613,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,precision,20,0.09275682437765105,0.15642589001166535,0.22150297320224285,16,0,4
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,recall,20,-0.5148978061257624,-0.44368102263633835,0.19634358050799866,0,0,20
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,specificity,20,0.05186103122621275,0.041222702566531766,0.026882572953744712,20,0,0
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,accuracy,28,0.0058438646980313435,0.006503378378378499,0.0038375200568636007,26,0,2
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,balanced_accuracy,28,-0.032677843293938344,-0.030379012117830062,0.008704069564493693,0,0,28
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,dice,28,-0.010747322250315189,-0.009910298470926449,0.014909880929283663,9,0,19
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,f1_score,28,-0.010747322250315189,-0.009910298470926449,0.014909880929283663,9,0,19
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,iou,28,-0.010189935362254803,-0.00902589179457114,0.014074275998663274,9,0,19
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,precision,28,0.02381167947999172,0.02462214009452121,0.016624962699681195,26,0,2
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,recall,28,-0.0774954279619389,-0.07581650362495024,0.017792136711265342,0,0,28
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,specificity,28,0.01213974137406222,0.0132874456506209,0.0043442179984039915,28,0,0
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,accuracy,28,0.003651754433004417,0.0037563605271938028,0.0029770392814388725,23,0,5
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.03341168643371946,-0.030979588776846034,0.008626860780817756,0,0,28
