dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.6036 ± 0.0689,0.6089 ± 0.0732,0.6015 ± 0.0487,0.4318 ± 0.0498,0.9449 ± 0.0066
CHASEDB1,CA-APSRG,28,0.6036 ± 0.0689,0.6089 ± 0.0732,0.6016 ± 0.0487,0.4318 ± 0.0498,0.9449 ± 0.0066
DRIVE,APSRG Baseline,20,0.6804 ± 0.0733,0.7399 ± 0.0662,0.7056 ± 0.0524,0.5473 ± 0.0575,0.9238 ± 0.0107
DRIVE,CA-APSRG,20,0.6804 ± 0.0733,0.7398 ± 0.0663,0.7056 ± 0.0525,0.5473 ± 0.0576,0.9238 ± 0.0107
STARE,APSRG Baseline,20,0.5262 ± 0.0629,0.8393 ± 0.0805,0.6434 ± 0.0530,0.4765 ± 0.0575,0.9307 ± 0.0101
STARE,CA-APSRG,20,0.5262 ± 0.0629,0.8393 ± 0.0805,0.6435 ± 0.0531,0.4765 ± 0.0575,0.9307 ± 0.0101
