dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.4501 ± 0.0498,0.7066 ± 0.0507,0.5469 ± 0.0335,0.3771 ± 0.0322,0.9197 ± 0.0060
CHASEDB1,CA-APSRG,28,0.4501 ± 0.0498,0.7066 ± 0.0507,0.5469 ± 0.0335,0.3771 ± 0.0322,0.9197 ± 0.0060
DRIVE,APSRG Baseline,20,0.7112 ± 0.1099,0.6943 ± 0.0491,0.6970 ± 0.0632,0.5381 ± 0.0687,0.9246 ± 0.0169
DRIVE,CA-APSRG,20,0.7112 ± 0.1099,0.6943 ± 0.0491,0.6970 ± 0.0632,0.5381 ± 0.0687,0.9246 ± 0.0169
STARE,APSRG Baseline,20,0.5356 ± 0.1401,0.8348 ± 0.0485,0.6413 ± 0.1157,0.4816 ± 0.1197,0.9286 ± 0.0245
STARE,CA-APSRG,20,0.5356 ± 0.1401,0.8348 ± 0.0485,0.6413 ± 0.1157,0.4816 ± 0.1197,0.9286 ± 0.0245
