dataset,n_images,delta_accuracy_mean,delta_accuracy_std,delta_accuracy_median,delta_accuracy_min,delta_accuracy_max,delta_precision_mean,delta_precision_std,delta_precision_median,delta_precision_min,delta_precision_max,delta_recall_mean,delta_recall_std,delta_recall_median,delta_recall_min,delta_recall_max,delta_specificity_mean,delta_specificity_std,delta_specificity_median,delta_specificity_min,delta_specificity_max,delta_f1_score_mean,delta_f1_score_std,delta_f1_score_median,delta_f1_score_min,delta_f1_score_max,delta_iou_mean,delta_iou_std,delta_iou_median,delta_iou_min,delta_iou_max,delta_false_positive_rate_mean,delta_false_positive_rate_std,delta_false_positive_rate_median,delta_false_positive_rate_min,delta_false_positive_rate_max,delta_false_negative_rate_mean,delta_false_negative_rate_std,delta_false_negative_rate_median,delta_false_negative_rate_min,delta_false_negative_rate_max,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,delta_balanced_accuracy_min,delta_balanced_accuracy_max,delta_dice_mean,delta_dice_std,delta_dice_median,delta_dice_min,delta_dice_max,precision_n_improved,precision_n_equal,precision_n_decreased,recall_n_improved,recall_n_equal,recall_n_decreased,f1_score_n_improved,f1_score_n_equal,f1_score_n_decreased,iou_n_improved,iou_n_equal,iou_n_decreased,accuracy_n_improved,accuracy_n_equal,accuracy_n_decreased
CHASEDB1,28,2.979169645835254e-06,5.841615229267415e-06,0.0,0.0,1.5640640640635084e-05,2.7276012695111517e-05,5.503627477915176e-05,0.0,0.0,0.0001729483822235922,-2.902656511237302e-06,1.5359414540352525e-05,0.0,-8.127438231464446e-05,0.0,3.438056553244679e-06,6.835858965777897e-06,0.0,0.0,2.1463687958855893e-05,1.1683756807680443e-05,2.4335220348688253e-05,0.0,0.0,7.012757352631294e-05,1.191621932186891e-05,2.4919768386894588e-05,0.0,0.0,7.318794442467969e-05,-3.4380565532428206e-06,6.835858965764733e-06,0.0,-2.1463687958599154e-05,0.0,2.9026565112353194e-06,1.5359414540342035e-05,0.0,0.0,8.127438231458894e-05,2.6770002100368853e-07,6.597735034765572e-06,0.0,-2.9905347178060815e-05,8.464323441037536e-06,1.1683756807680443e-05,2.4335220348688253e-05,0.0,0.0,7.012757352631294e-05,6,22,0,0,27,1,6,22,0,6,22,0,6,22,0
DRIVE,20,6.515826106112676e-07,1.2808813905223107e-05,0.0,-3.972773260585427e-05,3.520212620844454e-05,9.56707846585525e-06,5.6444323278886046e-05,0.0,-0.0001094161517730674,0.00020119398191043025,-1.7377352214420495e-05,6.34097502656865e-05,0.0,-0.00027874996128474105,0.0,3.49567083087754e-06,1.0870121550873124e-05,0.0,0.0,3.972549681696691e-05,-3.5872735046627025e-06,5.353100380396551e-05,0.0,-0.00020653686241445257,0.00010587513458515385,-2.648718341499712e-06,5.7611438272816044e-05,0.0,-0.0002146434533746855,0.00012590412229041004,-3.4956708308848256e-06,1.0870121550893241e-05,0.0,-3.9725496816994665e-05,0.0,1.7377352214419105e-05,6.340975026567562e-05,0.0,0.0,0.00027874996128468554,-6.940840691765926e-06,3.181283710111822e-05,0.0,-0.00013937498064231502,1.9862748408483455e-05,-3.5872735046627025e-06,5.353100380396551e-05,0.0,-0.00020653686241445257,0.00010587513458515385,2,17,1,0,18,2,2,17,1,2,17,1,2,17,1
STARE,20,7.91027154664059e-06,1.7339491760711234e-05,0.0,0.0,6.139315230224707e-05,3.471810170454226e-05,8.002943625077838e-05,0.0,0.0,0.00030254741917878913,0.0,0.0,0.0,0.0,0.0,8.69446397134821e-06,1.9135657500926624e-05,0.0,0.0,6.837480966837006e-05,2.4204483011897037e-05,5.385031979979931e-05,0.0,0.0,0.00019077343267226432,2.779662759387347e-05,6.382109984877024e-05,0.0,0.0,0.00023418646567296975,-8.694463971330169e-06,1.9135657500879323e-05,0.0,-6.837480966819659e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.347231985679656e-06,9.567828750467871e-06,0.0,0.0,3.418740483418503e-05,2.4204483011897037e-05,5.385031979979931e-05,0.0,0.0,0.00019077343267226432,4,16,0,0,20,0,4,16,0,4,16,0,4,16,0
