dataset,method,n_images,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,iou_mean,iou_std,iou_min,iou_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,dice_mean,dice_std,dice_min,dice_max
CHASEDB1,APSRG Baseline,28,0.944922787370704,0.006649985907539623,0.9245380797464132,0.9568433016349684,0.6036563482578508,0.068815176882208,0.4624878606463668,0.7197443200123717,0.608736934973679,0.073199812152618,0.4548137267993056,0.77532767290413,0.9703808906844286,0.006379048412615614,0.9519777796326478,0.9783049949991176,0.6015119500447892,0.04865562175934597,0.4848782501619297,0.7013688308426472,0.4317836499922176,0.04976928715738646,0.3200259320505111,0.5400831641040519,0.029619109315571397,0.006379048412615613,0.0216950050008825,0.0480222203673521,0.3912630650263211,0.07319981215261796,0.2246723270958701,0.5451862732006943,0.7895589128290537,0.035379156825986594,0.7095693923822914,0.8636527262683888,0.6015119500447892,0.04865562175934597,0.4848782501619297,0.7013688308426472
CHASEDB1,CA-APSRG,28,0.9449257665403499,0.006650092964230443,0.9245380797464132,0.9568433016349684,0.6036836242705458,0.06881555195680349,0.4624878606463668,0.7197443200123717,0.6087340323171676,0.07320400109551709,0.4548137267993056,0.77532767290413,0.9703843287409818,0.006379307736663865,0.9519777796326478,0.9783049949991176,0.6015236338015969,0.048654983234560426,0.4848782501619297,0.7013688308426472,0.4317955662115394,0.04976857456779149,0.3200259320505111,0.5400831641040519,0.029615671259018154,0.006379307736663832,0.0216950050008825,0.0480222203673521,0.39126596768283234,0.07320400109551713,0.2246723270958701,0.5451862732006943,0.7895591805290747,0.03538094120088871,0.7095693923822914,0.8636527262683888,0.6015236338015969,0.048654983234560426,0.4848782501619297,0.7013688308426472
DRIVE,APSRG Baseline,20,0.9239491911700748,0.010591265036793978,0.8942796916564046,0.9331433601251868,0.6804945374763506,0.07303526785905605,0.4593290130957203,0.8093955802722084,0.7403834091823545,0.06295366180989226,0.573760336977731,0.8063749475744443,0.9507766990049913,0.00993070126196481,0.922416005966882,0.9683900704146184,0.7061293947743199,0.052237691099740205,0.5301312765377274,0.7641061066592981,0.5479536978850239,0.05753415171403831,0.3606657302626348,0.6182618999709348,0.04922330099500878,0.009930701261964813,0.0316099295853815,0.0775839940331181,0.25961659081764554,0.06295366180989227,0.1936250524255557,0.426239663022269,0.8455800540936729,0.031449446833290776,0.7620597005472424,0.8777546331670266,0.7061293947743199,0.052237691099740205,0.5301312765377274,0.7641061066592981
DRIVE,CA-APSRG,20,0.9239498427526854,0.010597875423873424,0.8942796916564046,0.9331433601251868,0.6805041045548164,0.07303735564610679,0.4593290130957203,0.8093955802722084,0.7403660318301399,0.06298956959101237,0.5734815870164462,0.8063749475744443,0.9507801946758221,0.009931038720597427,0.922416005966882,0.9683900704146184,0.7061258075008153,0.052257448827404296,0.5301312765377274,0.7641061066592981,0.5479510491666824,0.057555160029075465,0.3606657302626348,0.6182618999709348,0.0492198053241779,0.009931038720597427,0.0316099295853815,0.0775839940331181,0.25963396816985995,0.06298956959101237,0.1936250524255557,0.4265184129835537,0.8455731132529811,0.03146802075240584,0.7619203255666,0.8777546331670266,0.7061258075008153,0.052257448827404296,0.5301312765377274,0.7641061066592981
STARE,APSRG Baseline,20,0.9304038961038961,0.010225181898476989,0.9086540731995276,0.9524510035419126,0.5252368064701958,0.0635475922135451,0.4467380631607791,0.6441816376275165,0.8388763018007316,0.08098128577173601,0.6391145086797261,0.9518266645579628,0.9376741027927646,0.012983299588836148,0.9198006712091936,0.9694928654314532,0.6424214335703999,0.05281362554374856,0.5625804738833212,0.7234862310905625,0.4753251950392382,0.05722939922392954,0.3913822399527187,0.566767275615568,0.06232589720723527,0.01298329958883617,0.0305071345685466,0.0801993287908064,0.1611236981992684,0.08098128577173602,0.048173335442037,0.3608854913202739,0.8882752022967482,0.03696006088599833,0.8043036870555897,0.935994733710524,0.6424214335703999,0.05281362554374856,0.5625804738833212,0.7234862310905625
STARE,CA-APSRG,20,0.9304118063754426,0.010223511758338574,0.9086800472255018,0.9524510035419126,0.5252715245719003,0.06357864509356363,0.4467380631607791,0.6444841850466952,0.8388763018007316,0.08098128577173601,0.6391145086797261,0.9518266645579628,0.9376827972567361,0.012984019992317783,0.9198006712091936,0.9694928654314532,0.6424456380534118,0.05283039172247016,0.5625804738833212,0.7236770045232348,0.4753529916668321,0.05725169691026776,0.3913822399527187,0.5670014620812409,0.06231720274326393,0.012984019992317788,0.0305071345685466,0.0801993287908064,0.1611236981992684,0.08098128577173602,0.048173335442037,0.3608854913202739,0.8882795495287338,0.03695944325147148,0.8043036870555897,0.935994733710524,0.6424456380534118,0.05283039172247016,0.5625804738833212,0.7236770045232348
