dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.6037 ± 0.0688,0.6087 ± 0.0732,0.6015 ± 0.0487,0.4318 ± 0.0498,0.9449 ± 0.0066
CHASEDB1,CA-APSRG,28,0.6037 ± 0.0688,0.6087 ± 0.0732,0.6015 ± 0.0487,0.4318 ± 0.0498,0.9449 ± 0.0067
DRIVE,APSRG Baseline,20,0.6805 ± 0.0730,0.7404 ± 0.0630,0.7061 ± 0.0522,0.5480 ± 0.0575,0.9239 ± 0.0106
DRIVE,CA-APSRG,20,0.6805 ± 0.0730,0.7404 ± 0.0630,0.7061 ± 0.0523,0.5480 ± 0.0576,0.9239 ± 0.0106
STARE,APSRG Baseline,20,0.5252 ± 0.0635,0.8389 ± 0.0810,0.6424 ± 0.0528,0.4753 ± 0.0572,0.9304 ± 0.0102
STARE,CA-APSRG,20,0.5253 ± 0.0636,0.8389 ± 0.0810,0.6424 ± 0.0528,0.4754 ± 0.0573,0.9304 ± 0.0102
