dataset,n_images,delta_accuracy_mean,delta_accuracy_std,delta_accuracy_median,delta_accuracy_min,delta_accuracy_max,delta_precision_mean,delta_precision_std,delta_precision_median,delta_precision_min,delta_precision_max,delta_recall_mean,delta_recall_std,delta_recall_median,delta_recall_min,delta_recall_max,delta_specificity_mean,delta_specificity_std,delta_specificity_median,delta_specificity_min,delta_specificity_max,delta_f1_score_mean,delta_f1_score_std,delta_f1_score_median,delta_f1_score_min,delta_f1_score_max,delta_iou_mean,delta_iou_std,delta_iou_median,delta_iou_min,delta_iou_max,delta_false_positive_rate_mean,delta_false_positive_rate_std,delta_false_positive_rate_median,delta_false_positive_rate_min,delta_false_positive_rate_max,delta_false_negative_rate_mean,delta_false_negative_rate_std,delta_false_negative_rate_median,delta_false_negative_rate_min,delta_false_negative_rate_max,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,delta_balanced_accuracy_min,delta_balanced_accuracy_max,delta_dice_mean,delta_dice_std,delta_dice_median,delta_dice_min,delta_dice_max,precision_n_improved,precision_n_equal,precision_n_decreased,recall_n_improved,recall_n_equal,recall_n_decreased,f1_score_n_improved,f1_score_n_equal,f1_score_n_decreased,iou_n_improved,iou_n_equal,iou_n_decreased,accuracy_n_improved,accuracy_n_equal,accuracy_n_decreased
CHASEDB1,28,2.1226583726592045e-06,7.3866125700302605e-06,0.0,-1.146980313637691e-05,2.502502502499393e-05,6.82561249371129e-05,0.00016204531059366752,0.0,-3.81698127761565e-05,0.0006386755813280187,-1.1882218740225103e-05,4.7432528066757215e-05,0.0,-0.00023473854268790673,0.0,3.2962876865946393e-06,7.126976597247424e-06,0.0,0.0,2.7085835011209092e-05,-3.295133616501181e-07,5.6309628950983755e-05,0.0,-0.00023020981808496987,9.517625717098133e-05,-9.067444157729944e-07,4.7203211610684604e-05,0.0,-0.00019331317918325208,7.417194907269331e-05,-3.2962876865927805e-06,7.126976597254085e-06,0.0,-2.7085835011200418e-05,0.0,1.1882218740223121e-05,4.743252806674756e-05,0.0,0.0,0.00023473854268785121,-4.292965526818206e-06,2.3791828723361896e-05,0.0,-0.00011398563079489943,1.3542917505549035e-05,-3.295133616501181e-07,5.6309628950983755e-05,0.0,-0.00023020981808496987,9.517625717098133e-05,6,21,1,0,26,2,5,21,2,5,21,2,5,21,2
DRIVE,20,-1.628804080749391e-05,4.2387163408783e-05,0.0,-0.00012299798810444518,5.697081779421076e-05,0.00012334645505664155,0.000214389047577281,3.0048834945062275e-05,-0.0003025687146690492,0.0005252929718323474,-0.0002939729667364305,0.0003936813216149023,-0.00010859352592088034,-0.001363064448483109,0.0,2.2782625589667925e-05,2.457387810315273e-05,1.2727994530004061e-05,0.0,7.533448511365393e-05,-0.00024326785012253603,0.0003707834972825424,-2.7714228156894283e-05,-0.0013238648695380606,0.00010184845719057867,-0.0002205948834643978,0.0003352454726888722,-2.3137205244855297e-05,-0.0011824517838229798,9.651099152852005e-05,-2.2782625589650015e-05,2.4573878103191397e-05,-1.2727994530000158e-05,-7.533448511390026e-05,0.0,0.000293972966736436,0.00039368132161490637,0.0001085935259209081,0.0,0.001363064448483109,-0.00013559517057340487,0.0001908734908353069,-3.538545789966152e-05,-0.0006538987545832153,3.148111375339546e-05,-0.00024326785012253603,0.0003707834972825424,-2.7714228156894283e-05,-0.0013238648695380606,0.00010184845719057867,10,7,3,0,8,12,3,7,10,3,7,10,4,7,9
STARE,20,4.368358913814374e-06,1.720356694222681e-05,0.0,-4.7225501772496514e-06,7.556080283355193e-05,8.957589922961028e-05,0.00022068867028586959,0.0,0.0,0.0008099685782909649,-5.511134877472512e-05,0.00012628447935299832,0.0,-0.00044436312308859804,0.0,9.916779748742055e-06,2.1359260737535488e-05,0.0,0.0,8.211423629900239e-05,-1.62159682646712e-05,9.835414331293244e-05,0.0,-0.0003103184762157096,0.0002454573277519967,-1.6553897389370854e-05,8.514371228748909e-05,0.0,-0.0002633136600116992,0.00019777284879624046,-9.916779748740104e-06,2.1359260737547093e-05,0.0,-8.211423629909953e-05,0.0,5.51113487747279e-05,0.00012628447935300315,0.0,0.0,0.00044436312308859804,-2.2597284512992922e-05,5.870357376947659e-05,0.0,-0.0002027133298048156,4.105711814950119e-05,-1.62159682646712e-05,9.835414331293244e-05,0.0,-0.0003103184762157096,0.0002454573277519967,5,15,0,0,16,4,1,15,4,1,15,4,3,15,2
