dataset,image_id,image_path,value,experiment,experiment_label,output_method,metric
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,0.9169565398732066,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,0.9147543376710044,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,0.9090058808808807,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,0.9105209376042708,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,0.9328797547547548,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,0.9262919169169168,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,0.9141798048048048,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,0.911646021021021,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,0.9236924424424424,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,0.9277537954621288,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06L.png,0.9199741408074742,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06R.png,0.9169502836169504,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07L.png,0.9161755505505506,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07R.png,0.9202900817484152,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_08L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08L.png,0.9278142726059392,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08R.png,0.923436978645312,a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
