dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.7249 ± 0.1205,0.1437 ± 0.1318,0.2145 ± 0.1546,0.1290 ± 0.1063,0.9361 ± 0.0114
CHASEDB1,CA-APSRG,28,0.7249 ± 0.1205,0.1436 ± 0.1317,0.2145 ± 0.1545,0.1289 ± 0.1062,0.9361 ± 0.0114
DRIVE,APSRG Baseline,20,0.8267 ± 0.1473,0.2939 ± 0.1285,0.4200 ± 0.1505,0.2762 ± 0.1151,0.9050 ± 0.0142
DRIVE,CA-APSRG,20,0.8266 ± 0.1473,0.2935 ± 0.1284,0.4195 ± 0.1505,0.2758 ± 0.1151,0.9050 ± 0.0143
STARE,APSRG Baseline,20,0.6328 ± 0.2985,0.3195 ± 0.2137,0.4044 ± 0.2412,0.2789 ± 0.1778,0.9408 ± 0.0114
STARE,CA-APSRG,20,0.6329 ± 0.2986,0.3194 ± 0.2136,0.4044 ± 0.2412,0.2788 ± 0.1778,0.9408 ± 0.0114
