dataset,method,n_images,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,iou_mean,iou_std,iou_min,iou_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,dice_mean,dice_std,dice_min,dice_max
CHASEDB1,APSRG Baseline,28,0.9456840024548357,0.007019310900869746,0.9303376292959626,0.9584407323990656,0.6661284788194124,0.07921974298686506,0.4746250922642087,0.8006896551724138,0.4528887626256736,0.0936766547864361,0.2769395112832153,0.6707608606050615,0.9830497628658911,0.005894927912304971,0.9679385555815566,0.9909508917863332,0.5301840737447097,0.060932302742268116,0.3830490631550757,0.6147359825319759,0.36294604980791895,0.055873607629662016,0.2368959097191287,0.4437681010841428,0.016950237134108752,0.005894927912305013,0.0090491082136666,0.0320614444184434,0.5471112373743263,0.09367665478643608,0.3292391393949386,0.7230604887167846,0.7179692627457824,0.044978008614077844,0.6313109025058276,0.8211824370767116,0.5301840737447097,0.060932302742268116,0.3830490631550757,0.6147359825319759
CHASEDB1,CA-APSRG,28,0.945691748295915,0.007015557250392258,0.93036995328662,0.9584407323990656,0.6662542538927726,0.07921357997737331,0.4747191011235955,0.8006896551724138,0.4528772543125564,0.09368579023363977,0.2769395112832153,0.6707608606050615,0.9830589362232399,0.005895421133659819,0.9679506405587216,0.9909508917863332,0.5302098625528412,0.06092315523948003,0.3831587503925807,0.6147359825319759,0.36296947116468986,0.055869560459517416,0.2369798212939052,0.4437681010841428,0.016941063776760072,0.005895421133659841,0.0090491082136666,0.0320493594412785,0.5471227456874436,0.09368579023363977,0.3292391393949386,0.7230604887167846,0.7179680952678982,0.04498045898621051,0.6313284334677685,0.8211824370767116,0.5302098625528412,0.06092315523948003,0.3831587503925807,0.6147359825319759
DRIVE,APSRG Baseline,20,0.9126276399586685,0.013574613164165885,0.889353850500128,0.9340933944075784,0.7732716257245575,0.10802291536360378,0.4274231188093139,0.9010131053071848,0.44182591610117783,0.06277603193088015,0.3446482438195624,0.5464344941956882,0.9805041820127425,0.01103653192349471,0.9465256958536952,0.9947001741726798,0.5563780566816148,0.056082379123070514,0.4020782008439642,0.6251727195858855,0.3873188022320776,0.05193518188631802,0.2516257059990841,0.4547281891275651,0.01949581798725748,0.011036531923494746,0.0052998258273202,0.0534743041463048,0.5581740838988222,0.06277603193088013,0.4535655058043117,0.6553517561804376,0.7111650490569602,0.030321958169897616,0.6630482398398991,0.7592021847891921,0.5563780566816148,0.056082379123070514,0.4020782008439642,0.6251727195858855
DRIVE,CA-APSRG,20,0.9126210130663688,0.013577637545379394,0.889336193730081,0.9340933944075784,0.7733109722951211,0.10803409108331798,0.4274231188093139,0.9010131053071848,0.4416991134814891,0.06278336913776754,0.3438854408654346,0.5461100295623332,0.9805150485916465,0.01103494086965597,0.9465256958536952,0.9947001741726798,0.5562872663838508,0.05612270456966606,0.4020782008439642,0.6249174917491749,0.3872339091623048,0.051961217031029246,0.2516257059990841,0.4544581783271331,0.019484951408353435,0.01103494086965599,0.0052998258273202,0.0534743041463048,0.5583008865185108,0.06278336913776753,0.4538899704376667,0.6561145591345654,0.7111070810365678,0.030328775129429292,0.6630482398398991,0.7590399524725145,0.5562872663838508,0.05612270456966606,0.4020782008439642,0.6249174917491749
STARE,APSRG Baseline,20,0.9435864226682409,0.010927498845939911,0.9143376623376624,0.9641794569067296,0.6921049447465465,0.1310712053142028,0.5071140105622864,0.9533751962323392,0.5047815264545801,0.09418154064990733,0.3646352446712699,0.7621626669156784,0.9802581490638177,0.01079058963055177,0.9605403872841858,0.9984776647274404,0.5711637571602609,0.05845086324783202,0.459827278141751,0.6701154956689124,0.40195273532499387,0.05698220876104467,0.2985556565285485,0.5038899945721006,0.01974185093618231,0.010790589630551828,0.0015223352725595,0.0394596127158141,0.49521847354542,0.09418154064990737,0.2378373330843216,0.6353647553287302,0.7425198377591988,0.04467495441620363,0.681058531278387,0.8613515270999321,0.5711637571602609,0.05845086324783202,0.459827278141751,0.6701154956689124
STARE,CA-APSRG,20,0.9435939787485242,0.010916444200188904,0.914365997638725,0.9641794569067296,0.6921936474444433,0.13107626429729216,0.5071140105622864,0.9533751962323392,0.5047539218133491,0.09419784105923708,0.3646352446712699,0.7621626669156784,0.9802692302232593,0.01078538557678904,0.9605403872841858,0.9984776647274404,0.5711744049929035,0.05845963228931703,0.4597807305011023,0.6701154956689124,0.40196388763527124,0.05699178997896168,0.2985164123097159,0.5038899945721006,0.019730769776740584,0.010785385576789062,0.0015223352725595,0.0394596127158141,0.4952460781866509,0.09419784105923712,0.2378373330843216,0.6353647553287302,0.7425115760183043,0.044681971995757394,0.681058531278387,0.8613515270999321,0.5711744049929035,0.05845963228931703,0.4597807305011023,0.6701154956689124
