dataset,n_images,delta_accuracy_mean,delta_accuracy_std,delta_accuracy_median,delta_accuracy_min,delta_accuracy_max,delta_precision_mean,delta_precision_std,delta_precision_median,delta_precision_min,delta_precision_max,delta_recall_mean,delta_recall_std,delta_recall_median,delta_recall_min,delta_recall_max,delta_specificity_mean,delta_specificity_std,delta_specificity_median,delta_specificity_min,delta_specificity_max,delta_f1_score_mean,delta_f1_score_std,delta_f1_score_median,delta_f1_score_min,delta_f1_score_max,delta_iou_mean,delta_iou_std,delta_iou_median,delta_iou_min,delta_iou_max,delta_false_positive_rate_mean,delta_false_positive_rate_std,delta_false_positive_rate_median,delta_false_positive_rate_min,delta_false_positive_rate_max,delta_false_negative_rate_mean,delta_false_negative_rate_std,delta_false_negative_rate_median,delta_false_negative_rate_min,delta_false_negative_rate_max,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,delta_balanced_accuracy_min,delta_balanced_accuracy_max,delta_dice_mean,delta_dice_std,delta_dice_median,delta_dice_min,delta_dice_max,precision_n_improved,precision_n_equal,precision_n_decreased,recall_n_improved,recall_n_equal,recall_n_decreased,f1_score_n_improved,f1_score_n_equal,f1_score_n_decreased,iou_n_improved,iou_n_equal,iou_n_decreased,accuracy_n_improved,accuracy_n_equal,accuracy_n_decreased
CHASEDB1,28,7.745841079178004e-06,1.4119574008261392e-05,0.0,-1.146980313637691e-05,4.587921254595173e-05,0.00012577507336024505,0.00022842414996353358,0.0,-8.080783986175177e-05,0.0009218300980716743,-1.1508313117273533e-05,4.267650719948742e-05,0.0,-0.00021334208582912684,0.0,9.173357348687564e-06,1.4804239167722085e-05,0.0,0.0,4.959020458206176e-05,2.5788808131532726e-05,7.496150867759498e-05,0.0,-0.00019836940956086124,0.00022839078222547382,2.3421356770901174e-05,6.771476392792803e-05,0.0,-0.00017311410282361273,0.0002297283484479773,-9.173357348682236e-06,1.4804239167702532e-05,0.0,-4.959020458209992e-05,0.0,1.1508313117275515e-05,4.267650719950868e-05,0.0,0.0,0.00021334208582923786,-1.167477884288028e-06,2.2809841539913615e-05,0.0,-0.00010555758736097154,2.479510229103088e-05,2.5788808131532726e-05,7.496150867759498e-05,0.0,-0.00019836940956086124,0.00022839078222547382,11,16,1,0,25,3,11,16,1,11,16,1,11,16,1
DRIVE,20,-6.62689229959934e-06,3.21331717531298e-05,0.0,-9.243527330038415e-05,7.907013520980222e-05,3.9346570563519864e-05,0.0002610842629792678,0.0,-0.0003482443769923238,0.001058112344850981,-0.00012680261968867624,0.00021872264503653192,0.0,-0.0007628029541277837,0.0,1.0866578904061841e-05,2.782050399587004e-05,0.0,0.0,0.00011555814584462976,-9.079029776388469e-05,0.00021092074420878102,0.0,-0.0007895138354869213,0.0001443290591071067,-8.489306977284561e-05,0.00019207487937715725,0.0,-0.0006776680289432013,0.00014519556067066341,-1.0866578904044841e-05,2.7820503995814932e-05,0.0,-0.00011555814584440077,0.0,0.00012680261968868732,0.00021872264503654216,0.0,0.0,0.0007628029541277837,-5.796802039231275e-05,0.00010694196434643705,0.0,-0.00037888061694646424,0.0,-9.079029776388469e-05,0.00021092074420878102,0.0,-0.0007895138354869213,0.0001443290591071067,3,13,4,0,13,7,2,13,5,2,13,5,2,13,5
STARE,20,7.556080283371847e-06,2.090481355955384e-05,0.0,0.0,8.97284533648568e-05,8.870269789691965e-05,0.00022283394288734394,0.0,0.0,0.00088437002800279,-2.7604641230899452e-05,8.769664662059144e-05,0.0,-0.0003429807666938678,0.0,1.1081159441689304e-05,2.609527781633756e-05,0.0,0.0,9.993241413042142e-05,1.0647832642596278e-05,7.888946403095283e-05,0.0,-0.0001228266112501819,0.0003139934018036028,1.1152310277393052e-05,8.141720930142409e-05,0.0,-0.00012464447316307137,0.0003285568581610221,-1.1081159441725472e-05,2.609527781638029e-05,0.0,-9.99324141304006e-05,0.0,2.7604641230899452e-05,8.769664662059589e-05,0.0,0.0,0.0003429807666939233,-8.261740894593971e-06,3.9330549237851554e-05,0.0,-0.00014814995279388565,4.996620706521071e-05,1.0647832642596278e-05,7.888946403095283e-05,0.0,-0.0001228266112501819,0.0003139934018036028,4,16,0,0,18,2,2,16,2,2,16,2,4,16,0
