dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.6661 ± 0.0792,0.4529 ± 0.0937,0.5302 ± 0.0609,0.3629 ± 0.0559,0.9457 ± 0.0070
CHASEDB1,CA-APSRG,28,0.6663 ± 0.0792,0.4529 ± 0.0937,0.5302 ± 0.0609,0.3630 ± 0.0559,0.9457 ± 0.0070
DRIVE,APSRG Baseline,20,0.7733 ± 0.1080,0.4418 ± 0.0628,0.5564 ± 0.0561,0.3873 ± 0.0519,0.9126 ± 0.0136
DRIVE,CA-APSRG,20,0.7733 ± 0.1080,0.4417 ± 0.0628,0.5563 ± 0.0561,0.3872 ± 0.0520,0.9126 ± 0.0136
STARE,APSRG Baseline,20,0.6921 ± 0.1311,0.5048 ± 0.0942,0.5712 ± 0.0585,0.4020 ± 0.0570,0.9436 ± 0.0109
STARE,CA-APSRG,20,0.6922 ± 0.1311,0.5048 ± 0.0942,0.5712 ± 0.0585,0.4020 ± 0.0570,0.9436 ± 0.0109
