dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.9469688438438438,0.6811502464167835,0.4504746953726545,0.984191087871502,0.5423014965937418,0.3720258306683623,0.0158089121284978,0.5495253046273454,0.7173328916220784,0.5423014965937418
CHASEDB1,Image_01L,CA-APSRG,0.9469688438438438,0.6811502464167835,0.4504746953726545,0.984191087871502,0.5423014965937418,0.3720258306683623,0.0158089121284978,0.5495253046273454,0.7173328916220784,0.5423014965937418
CHASEDB1,Image_01R,APSRG Baseline,0.9377179262595928,0.6537261617133072,0.3826162168099069,0.9833423982342626,0.4827096450129472,0.3181392694063927,0.0166576017657373,0.6173837831900931,0.6829793075220848,0.4827096450129472
CHASEDB1,Image_01R,CA-APSRG,0.9377179262595928,0.6537261617133072,0.3826162168099069,0.9833423982342626,0.4827096450129472,0.3181392694063927,0.0166576017657373,0.6173837831900931,0.6829793075220848,0.4827096450129472
CHASEDB1,Image_02L,APSRG Baseline,0.9314157907907908,0.6303261128302785,0.3742996658956566,0.9806143755248404,0.4696890293555643,0.3069239117836106,0.0193856244751594,0.6257003341043433,0.6774570207102486,0.4696890293555643
CHASEDB1,Image_02L,CA-APSRG,0.9314157907907908,0.6303261128302785,0.3742996658956566,0.9806143755248404,0.4696890293555643,0.3069239117836106,0.0193856244751594,0.6257003341043433,0.6774570207102486,0.4696890293555643
CHASEDB1,Image_02R,APSRG Baseline,0.9303376292959626,0.6209766759483817,0.2769395112832153,0.9856822937284396,0.3830490631550757,0.2368959097191287,0.0143177062715602,0.7230604887167846,0.6313109025058276,0.3830490631550757
CHASEDB1,Image_02R,CA-APSRG,0.93036995328662,0.6215535842723567,0.2769395112832153,0.9857173556523214,0.3831587503925807,0.2369798212939052,0.0142826443476785,0.7230604887167846,0.6313284334677685,0.3831587503925807
CHASEDB1,Image_03L,APSRG Baseline,0.9433527277277276,0.7830462498304624,0.3838901005372626,0.9909508917863332,0.5152015420172942,0.3469841575113589,0.0090491082136666,0.6161098994627374,0.687420496161798,0.5152015420172942
CHASEDB1,Image_03L,CA-APSRG,0.9433527277277276,0.7830462498304624,0.3838901005372626,0.9909508917863332,0.5152015420172942,0.3469841575113589,0.0090491082136666,0.6161098994627374,0.687420496161798,0.5152015420172942
