dataset,method,n_images,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,iou_mean,iou_std,iou_min,iou_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,dice_mean,dice_std,dice_min,dice_max
CHASEDB1,APSRG,28,0.9197306681681682,0.0059921591094967966,0.9090267350684017,0.9329131214547881,0.4501772225740313,0.0497828905363642,0.36413817823379185,0.5622674897946872,0.7070667288938692,0.050648273175651556,0.6063559887835492,0.8340195415719289,0.9360227475849053,0.006715021486804596,0.921412599633859,0.950379369415884,0.5470767198373977,0.03348922055202266,0.4846157515622764,0.6307385916883326,0.3772511342702579,0.0322275611131515,0.31979727390058865,0.4606414727382469,0.06397725241509462,0.006715021486804617,0.04962063058411607,0.07858740036614094,0.29293327110613065,0.050648273175651536,0.16598045842807105,0.3936440112164508,0.8215447382393873,0.024388939308468385,0.7713134917621303,0.8822769970969373,0.5470767198373977,0.03348922055202266,0.4846157515622764,0.6307385916883326
CHASEDB1,CA-APSRG,28,0.9206896256375423,0.005771371945080602,0.9098827994661328,0.9340611444778112,0.4552329287234604,0.05203980303662601,0.3731094246191937,0.5696116217017492,0.7243898026733869,0.04852977806958641,0.6269728935772466,0.8417624285626498,0.9357436282943616,0.006905247505359897,0.9226053818065832,0.9503622730023695,0.5560013262228123,0.03567731486794536,0.4963749306313886,0.6409298416952464,0.38586974177683253,0.03472496601181436,0.3301188180108103,0.47159437485899547,0.0642563717056384,0.006905247505359927,0.04963772699763044,0.07739461819341677,0.27561019732661307,0.04852977806958643,0.1582375714373502,0.3730271064227534,0.8300667154838742,0.023167468701197513,0.7813024282397345,0.8851788958333875,0.5560013262228123,0.03567731486794536,0.4963749306313886,0.6409298416952464
DRIVE,APSRG,20,0.9246317967035684,0.016884327116317502,0.8791561307173502,0.9473728268436032,0.7110925658192857,0.10988609595997305,0.4113071638267607,0.869684654173252,0.6942874192295443,0.04907976548403985,0.6047625278032186,0.7754937930341258,0.9585426771565075,0.019095719484962526,0.9057939779051014,0.981726654389455,0.6969612922706492,0.06321634698837716,0.49639302346817643,0.7580269421655019,0.5380342915814491,0.06868504809266858,0.33013482327219723,0.6103408905561899,0.041457322843492524,0.019095719484962505,0.018273345610545035,0.0942060220948986,0.3057125807704557,0.049079765484039826,0.22450620696587426,0.39523747219678135,0.8264150481930258,0.026208815417914033,0.7658287380545126,0.8637501583502702,0.6969612922706492,0.06321634698837716,0.49639302346817643,0.7580269421655019
DRIVE,CA-APSRG,20,0.9235904762058078,0.017299628766618325,0.8757685582438964,0.9465401323499608,0.6999098320099654,0.1091033140358675,0.40302870841372856,0.8634617495335309,0.707301199523381,0.048914748642520677,0.6175847180426534,0.784741418304267,0.955470422310096,0.01966953868760749,0.901100870331714,0.9803072117185809,0.6979660709642763,0.06433579844204093,0.4930615164520744,0.7579203575133668,0.5393278151478113,0.06976439873138379,0.32719418996534866,0.6102027048732693,0.04452957768990382,0.01966953868760749,0.01969278828141902,0.09889912966828593,0.292698800476619,0.048914748642520677,0.21525858169573303,0.3824152819573466,0.8313858109167386,0.026345510390380522,0.7679954015469936,0.8673346785325485,0.6979660709642763,0.06433579844204093,0.4930615164520744,0.7579203575133668
STARE,APSRG,20,0.9286262101534829,0.024470242997103205,0.8748476977567886,0.9637213695395513,0.5354599330730546,0.14001199088828253,0.24881168303208456,0.7101351188030263,0.8348956153165512,0.0485434420910899,0.7463927376970855,0.914546056991385,0.9369215004598782,0.02679029996750433,0.8732522221835347,0.9693102221630766,0.641207815207683,0.11569689931134809,0.3871729054391066,0.7927201100887725,0.48154859381013004,0.11970255268041882,0.2400585324643978,0.6566166774691014,0.06307849954012171,0.026790299967504354,0.03068977783692345,0.1267477778164653,0.16510438468344873,0.04854344209108992,0.08545394300861497,0.25360726230291447,0.8859085578882148,0.02758932697601775,0.8315366093453485,0.9331757669393748,0.641207815207683,0.11569689931134809,0.3871729054391066,0.7927201100887725
STARE,CA-APSRG,20,0.925942266824085,0.025542683781032294,0.8702125147579693,0.9624580873671783,0.5243769486865988,0.1382007580241036,0.24080540901998662,0.6989892310598904,0.8453986911414759,0.04641504294502927,0.7591654722089505,0.9207090788601723,0.9331563034687707,0.02787288860542401,0.8680841221442392,0.9673805947040172,0.636019450320451,0.11654871921012419,0.3788870703764321,0.7882815100872228,0.475974515950507,0.11959487609486052,0.2337203432609793,0.6505483878057894,0.06684369653122935,0.02787288860542402,0.032619405295982846,0.13191587785576075,0.15460130885852405,0.04641504294502924,0.0792909211398277,0.24083452779104952,0.8892774973051234,0.026739507048438017,0.8358674047519039,0.9355543625713911,0.636019450320451,0.11654871921012419,0.3788870703764321,0.7882815100872228
