dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.9169565398732066,0.4424940722509218,0.7338117664648277,0.9306869322034848,0.5520798182268115,0.3812916106678682,0.0693130677965151,0.2661882335351723,0.8322493493341563,0.5520798182268115
CHASEDB1,Image_01L,CA-APSRG,0.9208896396396395,0.4579578314944271,0.7316438663377439,0.9350774248869312,0.5633180232758919,0.3920965338204894,0.0649225751130689,0.2683561336622561,0.8333606456123375,0.5633180232758919
CHASEDB1,Image_01R,APSRG Baseline,0.9147543376710044,0.4579076574450004,0.6658200389906368,0.935214544765189,0.5426298476066865,0.3723349532825084,0.064785455234811,0.3341799610093632,0.8005172918779129,0.5426298476066865
CHASEDB1,Image_01R,CA-APSRG,0.9197353603603604,0.4794592609502635,0.6631977813778522,0.9408204901365604,0.5565560029725386,0.3855750580685328,0.0591795098634397,0.3368022186221477,0.8020091357572063,0.5565560029725386
CHASEDB1,Image_02L,APSRG Baseline,0.9090058808808807,0.4558695753725417,0.6270110511436648,0.933908672068269,0.5279164750750588,0.3586185607925857,0.066091327931731,0.3729889488563351,0.7804598616059669,0.5279164750750588
CHASEDB1,Image_02L,CA-APSRG,0.9130484651317984,0.472847811250853,0.6232331020303264,0.9386418828442388,0.5377238206108986,0.3677306846614603,0.0613581171557613,0.3767668979696736,0.7809374924372825,0.5377238206108986
CHASEDB1,Image_02R,APSRG Baseline,0.9105209376042708,0.4462887936120835,0.6060088129256243,0.9363139738732116,0.5140274773193191,0.3459199073156603,0.0636860261267884,0.3939911870743757,0.7711613933994179,0.5140274773193191
CHASEDB1,Image_02R,CA-APSRG,0.914696988655322,0.4643978141626617,0.6025637601815996,0.941135553921846,0.5245349033191717,0.3555047859140505,0.0588644460781541,0.3974362398184003,0.7718496570517228,0.5245349033191717
CHASEDB1,Image_03L,APSRG Baseline,0.9328797547547548,0.5546755831220389,0.73021171338901,0.9501224197935382,0.6304531284983552,0.4603370221327967,0.0498775802064617,0.2697882866109899,0.8401670665912742,0.6304531284983552
CHASEDB1,Image_03L,CA-APSRG,0.9359797297297298,0.5721818828600724,0.7272727272727273,0.9537361796878182,0.6404722030285641,0.4710990128008545,0.0462638203121817,0.2727272727272727,0.8405044534802728,0.6404722030285641
CHASEDB1,Image_03R,APSRG Baseline,0.9262919169169168,0.5088088699013326,0.6906974496347744,0.9455357938415486,0.5859627132740979,0.4143898599950294,0.0544642061584513,0.3093025503652256,0.8181166217381615,0.5859627132740979
CHASEDB1,Image_03R,CA-APSRG,0.9297401568234902,0.5265587940757919,0.689744687314453,0.949343517339466,0.5972047870114654,0.4257248538360577,0.050656482660534,0.310255312685547,0.8195441023269595,0.5972047870114654
CHASEDB1,Image_04L,APSRG Baseline,0.9141798048048048,0.4678944479932343,0.6918635589612601,0.933086465008508,0.558252870108471,0.3872058133734392,0.0669135349914919,0.3081364410387399,0.812475011984884,0.558252870108471
CHASEDB1,Image_04L,CA-APSRG,0.9182390724057392,0.484842254784689,0.6902139208173691,0.9376312407226386,0.5695810644651326,0.3981917816630083,0.0623687592773614,0.3097860791826309,0.8139225807700039,0.5695810644651326
CHASEDB1,Image_04R,APSRG Baseline,0.911646021021021,0.448739511590104,0.6469169917641959,0.9337235205870658,0.5299055206351143,0.3604567788486938,0.0662764794129342,0.3530830082358041,0.7903202561756308,0.5299055206351143
CHASEDB1,Image_04R,CA-APSRG,0.9189126626626628,0.4800748079255964,0.6432731902904204,0.9419000560315224,0.5498193859121011,0.3791385573430202,0.0580999439684777,0.3567268097095795,0.7925866231609713,0.5498193859121011
CHASEDB1,Image_05L,APSRG Baseline,0.9236924424424424,0.5139055491154679,0.6713369589549782,0.9453934383347732,0.582165736014525,0.4106021068908862,0.0546065616652266,0.3286630410450218,0.8083651986448758,0.582165736014525
CHASEDB1,Image_05L,CA-APSRG,0.9276182432432432,0.5342733462217366,0.6695987674642156,0.9498063071071308,0.5943301951296481,0.4228092494200404,0.0501936928928693,0.3304012325357843,0.8097025372856732,0.5943301951296481
