experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,APSRG,dice,20,-0.1157256386599057,-0.1257120737692501,0.13943430001621632,3,0,17,25.0,0.001689910888671875,-0.17439913627724446,-0.053819130407880764
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,accuracy,28,0.01996080902330901,0.019490845011678415,0.008722553818225075,28,0,0,0.0,7.450580596923828e-09,0.016944688363959202,0.02325410510957388
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,accuracy,20,-0.016978580328480708,-0.01926652118410027,0.014535691945556263,3,0,17,12.0,0.000133514404296875,-0.02297242833446725,-0.010323670394196172
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,accuracy,20,0.012114994096812238,0.001213695395513581,0.02643618967640555,10,0,10,72.0,0.2305126190185547,0.0017621428571428098,0.02395855962219596
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,precision,28,0.22607888569617507,0.24323697268577635,0.06622447864552072,28,0,0,0.0,7.450580596923828e-09,0.2011467366379593,0.25010935066127366
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,precision,20,0.06646015930984721,0.060471562250951516,0.06960627972850458,17,0,3,18.0,0.0004825592041015625,0.03771962059712918,0.09690415462689136
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,precision,20,0.16742130892872395,0.14461488013141932,0.11365641674521315,20,0,0,0.0,1.9073486328125e-06,0.12096023703116915,0.2181911486991657
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,recall,28,-0.34672376544923544,-0.366477468642302,0.0890663599902594,0,0,28,0.0,7.450580596923828e-09,-0.3779713936989603,-0.3135562286822453
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,recall,20,-0.3203801300877549,-0.3195677062771417,0.08389258616344111,0,0,20,0.0,1.9073486328125e-06,-0.35591539941328576,-0.28491769514011656
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,recall,20,-0.3943179798871942,-0.3625386514955983,0.12021028314898793,0,0,20,0.0,1.9073486328125e-06,-0.4470261865210294,-0.34496568492240354
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,specificity,28,0.04764531711720694,0.04877322845109561,0.005037689746602333,28,0,0,0.0,7.450580596923828e-09,0.045734524532678594,0.04947090218978308
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,specificity,20,0.02559530625685879,0.019306801565699194,0.01511862108529584,20,0,0,0.0,1.9073486328125e-06,0.01982586388057426,0.03258256426204823
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,specificity,20,0.04549729235804615,0.038385135605671195,0.021501834772940476,20,0,0,0.0,1.9073486328125e-06,0.03634240569371541,0.05513457975486899
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,f1_score,28,-0.10263026179244801,-0.12274069716316205,0.10100474041811454,4,0,24,36.0,3.663450479507446e-05,-0.13797808947480228,-0.06561120462253474
