comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,APSRG,dice,20,0.05847968748582351,0.06718400072486116,0.06564459639378904,17,0,3,22.0,0.0010166168212890625,0.03093364693488531,0.08812102267109877
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,APSRG,dice,20,0.04562682748423531,0.030243636996954038,0.09355763883333766,13,0,7,41.0,0.01531219482421875,0.010567280805883556,0.09000698899674801
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,accuracy,28,0.002277500715000741,0.002563501001001056,0.0039789897606427255,20,0,8,92.0,0.01025690883398056,0.0008061679611158921,0.0036648590554840582
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,accuracy,20,0.0046618410805646885,0.0036213246030815105,0.004720469187060998,16,0,4,15.0,0.0002613067626953125,0.0027524934863695934,0.006802003766322783
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,accuracy,20,0.00109279811097997,0.00012278630460460516,0.006026023532292999,10,0,10,99.0,0.8227452173339953,-0.0012289374262100903,0.0038674881936245904
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,precision,28,-0.0262240553875016,-0.023116310462765355,0.0521632776086568,6,0,22,87.0,0.007071197032928467,-0.04493058536714193,-0.0076917772577656494
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,precision,20,-0.006329798047201804,-0.018429399045524986,0.06630888232871816,9,0,11,94.0,0.7011814117431641,-0.033616533792690674,0.022058107862861196
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,precision,20,-0.015364838500799482,-0.023397830252909146,0.05947744331183525,6,0,14,68.0,0.17685317993164062,-0.04004560417540314,0.01101806030781343
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,recall,28,0.09504394346449609,0.09289690834807149,0.04841588555071127,28,0,0,0.0,7.450580596923828e-09,0.07745918372486593,0.11267683661624943
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,recall,20,0.0694322597077985,0.06318727096462151,0.08499722019230858,16,0,4,28.0,0.002712249755859375,0.03311820327194828,0.106030969404925
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,recall,20,0.06475065295932177,0.04036176299642777,0.11597869271614716,16,0,4,37.0,0.009435653686523438,0.016447678086980583,0.11579769959466091
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,specificity,28,-0.004813906083801357,-0.0042481906237615275,0.0031599858852274943,3,0,25,6.0,1.043081283569336e-07,-0.0059716161932033465,-0.0036524456497452206
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,specificity,20,-0.004199337349648646,-0.0045010776913914086,0.008423282435435367,5,0,15,52.0,0.04844093322753906,-0.00776810024203587,-0.0006116956867969148
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,specificity,20,-0.0040585864667952,-0.005050135357396401,0.0068185056022528456,4,0,16,43.0,0.01923370361328125,-0.006854425462688624,-0.0010532424744765674
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,f1_score,28,0.07505953820692193,0.08008534000778636,0.052906229707947554,25,0,3,11.0,4.0978193283081055e-07,0.05498604656225908,0.0942101629203479
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,f1_score,20,0.05863216503818217,0.06754990286336629,0.06557712480473696,17,0,3,22.0,0.0010166168212890625,0.031378861384468486,0.08690510579138817
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,f1_score,20,0.04565369128514258,0.03032136428886789,0.0935483742238836,13,0,7,41.0,0.01531219482421875,0.010844993839292454,0.08895714995038516
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,iou,28,0.06357113774978121,0.06675318424462137,0.04345961189833877,25,0,3,11.0,4.0978193283081055e-07,0.04770309135838818,0.07888658139770333
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,iou,20,0.05117360420322183,0.05904576709094009,0.05676897799935291,17,0,3,23.0,0.001209259033203125,0.0280897669650481,0.07564835678066177
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,iou,20,0.039831122123498416,0.030380021935559,0.08050282789966459,13,0,7,43.0,0.01923370361328125,0.00855807812685645,0.07712785002945033
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,balanced_accuracy,28,0.0451150186903474,0.04211891727905648,0.02388726113581665,28,0,0,0.0,7.450580596923828e-09,0.036588572739597064,0.05395668886532834
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,balanced_accuracy,20,0.03261646117907493,0.030135980068821344,0.038939394005709796,16,0,4,26.0,0.0019855499267578125,0.01659884207638787,0.049577773465511614
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,balanced_accuracy,20,0.03034603324626331,0.019793957671973783,0.0555105365142286,16,0,4,37.0,0.009435653686523438,0.008479802186367099,0.05605803999962444
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,CHASEDB1,CA-APSRG,dice,28,0.07505953820692193,0.08008534000778636,0.052906229707947554,25,0,3,11.0,4.0978193283081055e-07,0.05563074461758797,0.09319812527110914
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,DRIVE,CA-APSRG,dice,20,0.05863216503818217,0.06754990286336629,0.06557712480473696,17,0,3,22.0,0.0010166168212890625,0.031136889520185,0.08740351738827
r01_selective35_bfs_to_r02_selective77_radius1_bfs,r01_selective35_bfs,r02_selective77_radius1_bfs,STARE,CA-APSRG,dice,20,0.04565369128514258,0.03032136428886789,0.0935483742238836,13,0,7,41.0,0.01531219482421875,0.0109207560262002,0.08995677171080486
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,accuracy,28,-0.009161468015634685,-0.009324428595262002,0.004791139607034773,1,0,27,2.0,2.2351741790771484e-08,-0.010902872738810252,-0.007428962630785546
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,accuracy,20,-0.021091524334967256,-0.020842980117736498,0.010368789273201649,1,0,19,2.0,5.7220458984375e-06,-0.0253000209059399,-0.016505331669526894
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,accuracy,20,-0.010891971664698968,-0.011076741440377902,0.008903289914871675,3,0,17,7.0,3.62396240234375e-05,-0.014867024793388469,-0.00710406434474618
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,precision,28,0.006081987902007725,0.003654288807023065,0.07684409915712631,15,0,13,196.0,0.8841757625341415,-0.02103162706299637,0.03476216264870831
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,precision,20,0.033011727260324426,0.007853626140344572,0.08705534882344053,12,0,8,71.0,0.21616744995117188,-0.002850140920103065,0.07068195404448915
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,precision,20,0.09283496974475772,0.11325881441680596,0.15542552384763694,14,0,6,44.0,0.021484375,0.02393458093347822,0.15723376429352276
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,recall,28,-0.2679028530746161,-0.263458355858585,0.06831021801989383,0,0,28,0.0,7.450580596923828e-09,-0.29369464466212325,-0.24401752021590906
