dataset,combined_refinement_level,process_risk_score_count,process_risk_score_mean,process_risk_score_std,process_risk_score_median,process_risk_score_min,process_risk_score_max,selected_seed_point_count_count,selected_seed_point_count_mean,selected_seed_point_count_std,selected_seed_point_count_median,selected_seed_point_count_min,selected_seed_point_count_max,seed_pixel_count_count,seed_pixel_count_mean,seed_pixel_count_std,seed_pixel_count_median,seed_pixel_count_min,seed_pixel_count_max,candidate_pixel_count_count,candidate_pixel_count_mean,candidate_pixel_count_std,candidate_pixel_count_median,candidate_pixel_count_min,candidate_pixel_count_max,output_pixel_count_count,output_pixel_count_mean,output_pixel_count_std,output_pixel_count_median,output_pixel_count_min,output_pixel_count_max,seed_density_count,seed_density_mean,seed_density_std,seed_density_median,seed_density_min,seed_density_max,candidate_density_count,candidate_density_mean,candidate_density_std,candidate_density_median,candidate_density_min,candidate_density_max,output_density_count,output_density_mean,output_density_std,output_density_median,output_density_min,output_density_max,growth_ratio_count,growth_ratio_mean,growth_ratio_std,growth_ratio_median,growth_ratio_min,growth_ratio_max,connected_edge_mean_count,connected_edge_mean_mean,connected_edge_mean_std,connected_edge_mean_median,connected_edge_mean_min,connected_edge_mean_max,connected_edge_density_count,connected_edge_density_mean,connected_edge_density_std,connected_edge_density_median,connected_edge_density_min,connected_edge_density_max,n_baseline_pixels_count,n_baseline_pixels_mean,n_baseline_pixels_std,n_baseline_pixels_median,n_baseline_pixels_min,n_baseline_pixels_max,n_refined_pixels_count,n_refined_pixels_mean,n_refined_pixels_std,n_refined_pixels_median,n_refined_pixels_min,n_refined_pixels_max,n_pixels_removed_count,n_pixels_removed_mean,n_pixels_removed_std,n_pixels_removed_median,n_pixels_removed_min,n_pixels_removed_max,n_pixels_added_count,n_pixels_added_mean,n_pixels_added_std,n_pixels_added_median,n_pixels_added_min,n_pixels_added_max,selected_min_component_area_count,selected_min_component_area_mean,selected_min_component_area_std,selected_min_component_area_median,selected_min_component_area_min,selected_min_component_area_max
CHASEDB1,normal,28,0.0,0.0,0.0,0,0,28,77.0,0.0,77.0,77,77,28,378.42857142857144,10.588003593965206,383.0,348,385,28,131938.2142857143,6441.459590503114,130326.0,116664,145587,28,66644.14285714286,6680.41841511879,66775.5,54244,81302,28,0.0003945910195910196,1.1040210621001421e-05,0.00039935769102435767,0.00036286286286286285,0.0004014431097764431,28,0.13757321309404644,0.0067165703104178475,0.13589214214214215,0.12164664664664665,0.15180492992992994,28,0.06949047261547261,0.006965734917332735,0.06962743993993994,0.05656072739406073,0.08477435769102436,28,176.17713882260472,17.726296408711264,175.82895673660846,145.81720430107526,212.27676240208876,28,0.08264585783971208,0.013990917073641517,0.08479630947113037,0.05390707030892372,0.10905689001083374,28,0.005576968337385004,0.002589203297662352,0.005127002002002002,0.0017121287954621287,0.01252711044377711,28,66644.14285714286,6680.41841511879,66775.5,54244,81302,28,66640.85714285714,6681.506792324097,66768.5,54244,81302,28,3.2857142857142856,6.748701619198581,0.0,0,25,28,0.0,0.0,0.0,0,0,28,18.0,0.0,18.0,18,18
DRIVE,normal,20,0.0,0.0,0.0,0,0,20,76.7,0.92338051687664,77.0,74,77,20,371.35,16.274859527245663,377.0,337,385,20,42638.55,1522.2289915224906,42342.0,39942,46075,20,30781.85,2448.24855280582,30717.5,25893,34524,20,0.0016355854553972294,7.25147451414837e-05,0.0016541064703852438,0.0014886310741856442,0.001710411742754074,20,0.1877913904751323,0.0065951008909735515,0.18640215246792724,0.17631167730487063,0.20223767260979872,20,0.13556392868255956,0.010640599746982813,0.1352619639363778,0.11388446618168384,0.1516032424931716,20,83.16357313328827,8.952492750059994,81.64259485924113,67.25454545454545,101.84070796460178,20,0.11933006532490253,0.015304464180160371,0.12486198171973228,0.08928932994604111,0.13921067118644714,20,0.026137511940645074,0.008009505948831085,0.0280160249653484,0.011066053254281718,0.040444374159879816,20,30781.85,2448.24855280582,30717.5,25893,34524,20,30780.6,2448.7709570313023,30717.5,25893,34524,20,1.25,3.0586374675490293,0.0,0,9,20,0.0,0.0,0.0,0,0,20,18.0,0.0,18.0,18,18
STARE,normal,20,0.0,0.0,0.0,0,0,20,77.0,0.0,77.0,77,77,20,376.65,11.595257651298656,384.5,343,385,20,77560.45,4086.5883142298526,77957.5,70131,84528,20,51385.55,8960.973199467733,54372.0,30314,61450,20,0.0008893742621015348,2.737959303730498e-05,0.0009079102715466352,0.0008099173553719008,0.0009090909090909091,20,0.18314155844155844,0.009649559183541576,0.18407910271546635,0.16559858323494686,0.19959386068476978,20,0.12133541912632821,0.021159322785047768,0.12838724911452185,0.07157969303423849,0.14510035419126327,20,136.68851829926774,24.69006124778295,145.74288125667437,78.73766233766234,167.3469387755102,20,0.10006624795496463,0.017301074405152304,0.10060357302427292,0.04952114075422287,0.13654382526874542,20,0.019877331759149942,0.011166648148208976,0.020693034238488783,0.00274616292798111,0.04963400236127509,20,51385.55,8960.973199467733,54372.0,30314,61450,20,51382.2,8959.395495350413,54357.0,30314,61450,20,3.35,7.343274760658648,0.0,0,26,20,0.0,0.0,0.0,0,0,20,18.0,0.0,18.0,18,18
