dataset,image_id,image_path,value,experiment,experiment_label,output_method,metric
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_14R.png,0.9098515181848515,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,21,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\21_training.png,0.9397872340425532,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,22,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\22_training.png,0.9271584550653093,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,23,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\23_training.png,0.8791561307173502,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,24,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\24_training.png,0.9184678078041156,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,25,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\25_training.png,0.9163712493732462,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,26,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\26_training.png,0.9213566008565388,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,27,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\27_training.png,0.9276553158989757,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,28,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\28_training.png,0.9291329230579738,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,29,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\29_training.png,0.927314800557831,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,30,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\30_training.png,0.921758874236004,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,31,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\31_training.png,0.9058897413713598,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,32,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\32_training.png,0.9385358133579912,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,33,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\33_training.png,0.9405940159305868,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
