dataset,method,n_images,precision,recall,f1_score,iou,accuracy
CHASEDB1,APSRG Baseline,28,0.5907 ± 0.1225,0.0938 ± 0.0426,0.1577 ± 0.0630,0.0868 ± 0.0373,0.9325 ± 0.0093
CHASEDB1,CA-APSRG,28,0.5907 ± 0.1225,0.0938 ± 0.0426,0.1577 ± 0.0630,0.0868 ± 0.0373,0.9325 ± 0.0093
DRIVE,APSRG Baseline,20,0.7372 ± 0.1733,0.0835 ± 0.0512,0.1443 ± 0.0755,0.0795 ± 0.0465,0.8803 ± 0.0171
DRIVE,CA-APSRG,20,0.7372 ± 0.1733,0.0835 ± 0.0512,0.1443 ± 0.0754,0.0795 ± 0.0464,0.8803 ± 0.0171
STARE,APSRG Baseline,20,0.6412 ± 0.2595,0.0903 ± 0.0847,0.1494 ± 0.1219,0.0856 ± 0.0786,0.9267 ± 0.0168
STARE,CA-APSRG,20,0.6412 ± 0.2595,0.0903 ± 0.0847,0.1494 ± 0.1219,0.0856 ± 0.0786,0.9267 ± 0.0168
