dataset,n_images,delta_accuracy_mean,delta_accuracy_std,delta_accuracy_median,delta_accuracy_min,delta_accuracy_max,delta_precision_mean,delta_precision_std,delta_precision_median,delta_precision_min,delta_precision_max,delta_recall_mean,delta_recall_std,delta_recall_median,delta_recall_min,delta_recall_max,delta_specificity_mean,delta_specificity_std,delta_specificity_median,delta_specificity_min,delta_specificity_max,delta_f1_score_mean,delta_f1_score_std,delta_f1_score_median,delta_f1_score_min,delta_f1_score_max,delta_iou_mean,delta_iou_std,delta_iou_median,delta_iou_min,delta_iou_max,delta_false_positive_rate_mean,delta_false_positive_rate_std,delta_false_positive_rate_median,delta_false_positive_rate_min,delta_false_positive_rate_max,delta_false_negative_rate_mean,delta_false_negative_rate_std,delta_false_negative_rate_median,delta_false_negative_rate_min,delta_false_negative_rate_max,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,delta_balanced_accuracy_min,delta_balanced_accuracy_max,delta_dice_mean,delta_dice_std,delta_dice_median,delta_dice_min,delta_dice_max,precision_n_improved,precision_n_equal,precision_n_decreased,recall_n_improved,recall_n_equal,recall_n_decreased,f1_score_n_improved,f1_score_n_equal,f1_score_n_decreased,iou_n_improved,iou_n_equal,iou_n_decreased,accuracy_n_improved,accuracy_n_equal,accuracy_n_decreased
CHASEDB1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,28,0,0,28,0,0,28,0,0,28,0
DRIVE,20,-1.0995680896519477e-06,4.917417988702677e-06,0.0,-2.1991361793038955e-05,0.0,6.649685808046701e-07,2.9738298991616087e-06,0.0,0.0,1.3299371616093403e-05,-1.4211723092472096e-05,6.355675782434227e-05,0.0,-0.0002842344618494419,0.0,1.0219828511293104e-06,4.570446253928372e-06,0.0,0.0,2.043965702258621e-05,-1.526004691626004e-05,6.824500448918698e-05,0.0,-0.0003052009383252008,0.0,-1.1531885317239698e-05,5.1572158956159386e-05,0.0,-0.00023063770634479397,0.0,-1.0219828511249736e-06,4.570446253908977e-06,0.0,-2.0439657022499474e-05,0.0,1.4211723092472096e-05,6.355675782434227e-05,0.0,0.0,0.0002842344618494419,-6.594870120668617e-06,2.9493155785194535e-05,0.0,-0.00013189740241337233,0.0,-1.526004691626004e-05,6.824500448918698e-05,0.0,-0.0003052009383252008,0.0,1,19,0,0,19,1,0,19,1,0,19,1,0,19,1
STARE,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0
